season,date,opponent,location,type,longtype,result,unc,opp,OT,box
2015-16,25-Mar-16,Indiana,neutral,NCAA Tournament,NCAA Tournament Sweet 16,W,101,86,,https:///dadgumboxscores.com/boxes/2016/unc-101-iu-86
2015-16,19-Mar-16,Providence,neutral,NCAA Tournament,NCAA Tournament 2nd Round,W,85,66,,https:///dadgumboxscores.com/boxes/2016/unc-85-providence-66
2015-16,17-Mar-16,Florida Gulf-Coast,neutral,NCAA Tournament,NCAA Tournament 1st Round,W,83,67,,https:///dadgumboxscores.com/boxes/2016/unc-83-fgcu-67
2015-16,12-Mar-16,UVA,neutral,ACC Tournament,ACC Tournament Championship,W,61,57,,https:///dadgumboxscores.com/boxes/2016/unc-61-uva-57
2015-16,11-Mar-16,Notre Dame,neutral,ACC Tournament,ACC Tournament Semifinal,W,78,47,,https:///dadgumboxscores.com/boxes/2016/unc-78-nd-47
2015-16,10-Mar-16,Pittsburgh,neutral,ACC Tournament,ACC Tournament Quarterfinal,W,88,71,,https:///dadgumboxscores.com/boxes/2016/unc-88-pitt-71
2015-16,5-Mar-16,Duke,away,League,League,W,76,72,,https:///dadgumboxscores.com/boxes/2016/unc-76-duke-72
2015-16,29-Feb-16,Syracuse,home,League,League,W,75,70,,https:///dadgumboxscores.com/boxes/2016/unc-75-cuse-70
2015-16,27-Feb-16,UVA,away,League,League,L,74,79,,https:///dadgumboxscores.com/boxes/2016/uva-79-unc-74
2015-16,24-Feb-16,NC State,away,League,League,W,80,68,,https:///dadgumboxscores.com/boxes/2016/unc-80-state-68
2015-16,20-Feb-16,Miami,home,League,League,W,96,71,,https:///dadgumboxscores.com/boxes/2016/unc-96-miami-71
2015-16,17-Feb-16,Duke,home,League,League,L,73,74,,https:///dadgumboxscores.com/boxes/2016/duke-74-unc-73
2015-16,14-Feb-16,Pittsburgh,home,League,League,W,85,64,,https:///dadgumboxscores.com/boxes/2016/unc-85-pitt-64
2015-16,9-Feb-16,Boston College,away,League,League,W,68,65,,https:///dadgumboxscores.com/boxes/2016/unc-68-bc-65
2015-16,6-Feb-16,Notre Dame,away,League,League,L,76,80,,https:///dadgumboxscores.com/boxes/2016/nd-80-unc-76
2015-16,1-Feb-16,Louisville,away,League,League,L,65,71,,https:///dadgumboxscores.com/boxes/2016/lville-71-unc-65
2015-16,30-Jan-16,Boston College,home,League,League,W,89,62,,https:///dadgumboxscores.com/boxes/2016/unc-89-bc-62
2015-16,24-Jan-16,Virginia Tech,away,League,League,W,75,70,,https:///dadgumboxscores.com/boxes/2016/unc-75-vt-70
2015-16,20-Jan-16,Wake Forest,home,League,League,W,83,68,,https:///dadgumboxscores.com/boxes/2016/unc-83-wake-68
2015-16,16-Jan-16,NC State,home,League,League,W,67,55,,https:///dadgumboxscores.com/boxes/2016/unc-67-state-55
2015-16,9-Jan-16,Syracuse,away,League,League,W,84,73,,https:///dadgumboxscores.com/boxes/2016/unc-84-cuse-73
2015-16,4-Jan-16,Florida State,away,League,League,W,106,90,,https:///dadgumboxscores.com/boxes/2016/unc-106-fsu-90
2015-16,2-Jan-16,Georgia Tech,home,League,League,W,86,68,,https:///dadgumboxscores.com/boxes/2016/unc-86-gt-78
2015-16,30-Dec-15,Clemson,home,League,League,W,80,69,,https:///dadgumboxscores.com/boxes/2016/unc-80-clem-69
2015-16,28-Dec-15,UNC-G,home,Non-Conference,Non-Conference,W,96,63,,https:///dadgumboxscores.com/boxes/2016/unc-96-uncg-63
2015-16,21-Dec-15,Appalachian State,home,Non-Conference,Non-Conference,W,94,70,,https:///dadgumboxscores.com/boxes/2016/unc-94-app-70
2015-16,19-Dec-15,UCLA,neutral,Non-Conference,Non-Conference,W,89,76,,https:///dadgumboxscores.com/boxes/2016/unc-89-ucla-76
2015-16,16-Dec-15,Tulane,home,Non-Conference,Non-Conference,W,96,72,,https:///dadgumboxscores.com/boxes/2016/unc-96-tulane-72
2015-16,12-Dec-15,Texas,away,Non-Conference,Non-Conference,L,82,84,,https:///dadgumboxscores.com/boxes/2016/texas-84-unc-82
2015-16,6-Dec-15,Davidson,home,Non-Conference,Non-Conference,W,98,65,,https:///dadgumboxscores.com/boxes/2016/unc-98-davidson-65
2015-16,1-Dec-15,Maryland,home,Non-Conference,Non-Conference (Big Ten Challenge),W,89,81,,https:///dadgumboxscores.com/boxes/2016/unc-89-maryland-81
2015-16,24-Nov-15,Kansas State,neutral,Non-Conference,Non-Conference (CBE Hall of Fame),W,80,70,,https:///dadgumboxscores.com/boxes/2016/unc-80-kstate-70
2015-16,23-Nov-15,Northwestern,neutral,Non-Conference,Non-Conference (CBE Hall of Fame),W,80,69,,https:///dadgumboxscores.com/boxes/2016/unc-80-nw-69
2015-16,21-Nov-15,Northern Iowa,away,Non-Conference,Non-Conference,L,67,71,,https:///dadgumboxscores.com/boxes/2016/uni-71-unc-67
2015-16,18-Nov-15,Wofford,home,Non-Conference,Non-Conference,W,78,58,,https:///dadgumboxscores.com/boxes/2016/unc-78-woff-58
2015-16,15-Nov-15,Fairfield,home,Non-Conference,Non-Conference,W,92,65,,https:///dadgumboxscores.com/boxes/2016/unc-92-fairfield-65
2015-16,13-Nov-15,Temple,neutral,Non-Conference,Non-Conference (Veterans Classic),W,91,67,,https:///dadgumboxscores.com/boxes/2016/unc-91-temple-67
2014-15,26-Mar-15,Wisconsin,neutral,NCAA Tournament,NCAA Tournament Sweet 16,L,72,79,,https:///dadgumboxscores.com/boxes/2015/wisco-79-unc-72
2014-15,21-Mar-15,Arkansas,neutral,NCAA Tournament,NCAA Tournament 2nd Round,W,87,78,,https:///dadgumboxscores.com/boxes/2015/unc-87-ark-78
2014-15,19-Mar-15,Harvard,neutral,NCAA Tournament,NCAA Tournament 1st Round,W,67,65,,https:///dadgumboxscores.com/boxes/2015/unc-67-harvard-65
2014-15,14-Mar-15,Notre Dame,neutral,ACC Tournament,ACC Tournament Championship,L,82,90,,https:///dadgumboxscores.com/boxes/2015/nd-90-unc-82
2014-15,13-Mar-15,UVA,neutral,ACC Tournament,ACC Tournament Semifinal,W,71,67,,https:///dadgumboxscores.com/boxes/2015/unc-71-uva-67
2014-15,12-Mar-15,Louisville,neutral,ACC Tournament,ACC Tournament Quarterfinal,W,70,60,,https:///dadgumboxscores.com/boxes/2015/unc-70-lville-60
2014-15,11-Mar-15,Boston College,neutral,ACC Tournament,ACC Tournament 2nd Round,W,81,63,,https:///dadgumboxscores.com/boxes/2015/unc-81-bc-63
2014-15,7-Mar-15,Duke,home,League,League,L,77,84,,https:///dadgumboxscores.com/boxes/2015/duke-84-unc-77
2014-15,3-Mar-15,Georgia Tech,away,League,League,W,81,49,,https:///dadgumboxscores.com/boxes/2015/unc-81-gt-49
2014-15,28-Feb-15,Miami,away,League,League,W,73,64,,https:///dadgumboxscores.com/boxes/2015/unc-73-miami-64
2014-15,24-Feb-15,NC State,home,League,League,L,46,58,,https:///dadgumboxscores.com/boxes/2015/state-58-unc-46
2014-15,21-Feb-15,Georgia Tech,home,League,League,W,89,60,,https:///dadgumboxscores.com/boxes/2015/unc-89-gt-60
2014-15,18-Feb-15,Duke,away,League,League,L,90,92,OT,https:///dadgumboxscores.com/boxes/2015/duke-92-unc-90
2014-15,14-Feb-15,Pittsburgh,away,League,League,L,76,89,,https:///dadgumboxscores.com/boxes/2015/pitt-89-unc-76
2014-15,7-Feb-15,Boston College,away,League,League,W,79,68,,https:///dadgumboxscores.com/boxes/2015/unc-79-bc-68
2014-15,2-Feb-15,UVA,home,League,League,L,64,75,,https:///dadgumboxscores.com/boxes/2015/uva-75-unc-64
2014-15,31-Jan-15,Louisville,away,League,League,L,68,78,,https:///dadgumboxscores.com/boxes/2015/lville-78-unc-68
2014-15,26-Jan-15,Syracuse,home,League,League,W,93,83,,https:///dadgumboxscores.com/boxes/2015/unc-93-cuse-83
2014-15,24-Jan-15,Florida State,home,League,League,W,78,74,,https:///dadgumboxscores.com/boxes/2015/unc-78-fsu-74
2014-15,21-Jan-15,Wake Forest,away,League,League,W,87,71,,https:///dadgumboxscores.com/boxes/2015/unc-87-wake-71
2014-15,18-Jan-15,Virginia Tech,home,League,League,W,68,53,,https:///dadgumboxscores.com/boxes/2015/unc-68-vt-63
2014-15,14-Jan-15,NC State,away,League,League,W,81,79,,https:///dadgumboxscores.com/boxes/2015/unc-81-state-79
2014-15,10-Jan-15,Louisville,home,League,League,W,72,71,,https:///dadgumboxscores.com/boxes/2015/unc-72-lville-71
2014-15,5-Jan-15,Notre Dame,home,League,League,L,70,71,,https:///dadgumboxscores.com/boxes/2015/nd-71-unc-70
2014-15,3-Jan-15,Clemson,away,League,League,W,74,50,,https:///dadgumboxscores.com/boxes/2015/unc-74-clem-50
2014-15,30-Dec-14,William & Mary,home,Non-Conference,Non-Conference,W,86,64,,https:///dadgumboxscores.com/boxes/2015/unc-86-bill-and-mary-64
2014-15,27-Dec-14,UAB,home,Non-Conference,Non-Conference,W,89,58,,https:///dadgumboxscores.com/boxes/2015/unc-89-uab-58
2014-15,20-Dec-14,Ohio State,neutral,Non-Conference,Non-Conference,W,82,74,,https:///dadgumboxscores.com/boxes/2015/unc-82-osu-74
2014-15,16-Dec-14,UNC-G,away,Non-Conference,Non-Conference,W,79,56,,https:///dadgumboxscores.com/boxes/2015/unc-79-uncg-56
2014-15,13-Dec-14,Kentucky,away,Non-Conference,Non-Conference,L,70,84,,https:///dadgumboxscores.com/boxes/2015/kentucky-84-unc-70
2014-15,7-Dec-14,East Carolina,home,Non-Conference,Non-Conference,W,108,64,,https:///dadgumboxscores.com/boxes/2015/unc-108-ecu-64
2014-15,3-Dec-14,Iowa,home,Non-Conference,Non-Conference (Big Ten Challenge),L,55,60,,https:///dadgumboxscores.com/boxes/2015/iowa-60-unc-55
2014-15,28-Nov-14,Florida,neutral,Non-Conference,Non-Conference (Battle 4 Atlantis),W,75,64,,https:///dadgumboxscores.com/boxes/2015/unc-75-fla-64
2014-15,27-Nov-14,UCLA,neutral,Non-Conference,Non-Conference (Battle 4 Atlantis),W,78,56,,https:///dadgumboxscores.com/boxes/2015/unc-78-ucla-56
2014-15,26-Nov-14,Butler,neutral,Non-Conference,Non-Conference (Battle 4 Atlantis),L,66,74,,https:///dadgumboxscores.com/boxes/2015/butler-74-unc-66
2014-15,22-Nov-14,Davidson,neutral,Non-Conference,Non-Conference,W,90,72,,https:///dadgumboxscores.com/boxes/2015/unc-90-davidson-72
2014-15,16-Nov-14,Robert Morris,home,Non-Conference,Non-Conference,W,103,59,,https:///dadgumboxscores.com/boxes/2015/unc-103-rm-59
2014-15,14-Nov-14,NC Central,home,Non-Conference,Non-Conference,W,76,60,,https:///dadgumboxscores.com/boxes/2015/unc-76-nccu-60
2013-14,23-Mar-14,Iowa State,neutral,NCAA Tournament,NCAA Tournament 2nd Round,L,83,85,,https:///dadgumboxscores.com/boxes/2014/isu-85-unc-83
2013-14,21-Mar-14,Providence,neutral,NCAA Tournament,NCAA Tournament 1st Round,W,79,77,,https:///dadgumboxscores.com/boxes/2014/unc-79-prov-77
2013-14,14-Mar-14,Pittsburgh,neutral,ACC Tournament,ACC Tournament Quarterfinal,L,75,80,,https:///dadgumboxscores.com/boxes/2014/pitt-80-unc-75
2013-14,8-Mar-14,Duke,away,League,League,L,81,93,,https:///dadgumboxscores.com/boxes/2014/duke-93-unc-81
2013-14,3-Mar-14,Notre Dame,home,League,League,W,63,61,,https:///dadgumboxscores.com/boxes/2014/unc-63-nd-61
2013-14,1-Mar-14,Virginia Tech,away,League,League,W,60,56,,https:///dadgumboxscores.com/boxes/2014/unc-60-vt-56
2013-14,26-Feb-14,NC State,away,League,League,W,85,84,OT,https:///dadgumboxscores.com/boxes/2014/unc-85-state-84
2013-14,22-Feb-14,Wake Forest,home,League,League,W,105,72,,https:///dadgumboxscores.com/boxes/2014/unc-105-wake-72
2013-14,20-Feb-14,Duke,home,League,League,W,74,66,,https:///dadgumboxscores.com/boxes/2014/unc-74-duke-66
2013-14,17-Feb-14,Florida State,away,League,League,W,81,75,,https:///dadgumboxscores.com/boxes/2014/unc-81-fsu-75
2013-14,15-Feb-14,Pittsburgh,home,League,League,W,75,71,,https:///dadgumboxscores.com/boxes/2014/unc-75-pitt-71
2013-14,8-Feb-14,Notre Dame,away,League,League,W,73,62,,https:///dadgumboxscores.com/boxes/2014/unc-73-nd-62
2013-14,4-Feb-14,Maryland,home,League,League,W,75,63,,https:///dadgumboxscores.com/boxes/2014/unc-75-maryland-63
2013-14,1-Feb-14,NC State,home,League,League,W,84,70,,https:///dadgumboxscores.com/boxes/2014/unc-84-state-70
2013-14,29-Jan-14,Georgia Tech,away,League,League,W,78,65,,https:///dadgumboxscores.com/boxes/2014/unc-78-gt-65
2013-14,26-Jan-14,Clemson,home,League,League,W,80,61,,https:///dadgumboxscores.com/boxes/2014/unc-80-clem-61
2013-14,20-Jan-14,UVA,away,League,League,L,61,76,,https:///dadgumboxscores.com/boxes/2014/uva-76-unc-61
2013-14,18-Jan-14,Boston College,home,League,League,W,82,71,,https:///dadgumboxscores.com/boxes/2014/unc-82-bc-71
2013-14,11-Jan-14,Syracuse,away,League,League,L,45,57,,https:///dadgumboxscores.com/boxes/2014/cuse-57-unc-45
2013-14,8-Jan-14,Miami,home,League,League,L,57,63,,https:///dadgumboxscores.com/boxes/2014/miami-63-unc-57
2013-14,5-Jan-14,Wake Forest,away,League,League,L,67,73,,https:///dadgumboxscores.com/boxes/2014/wake-73-unc-67
2013-14,31-Dec-13,UNC-Wilmington,home,Non-Conference,Non-Conference,W,84,51,,https:///dadgumboxscores.com/boxes/2014/unc-84-uncw-51
2013-14,27-Dec-13,NKU,home,Non-Conference,Non-Conference,W,75,60,,https:///dadgumboxscores.com/boxes/2014/unc-75-nk-60
2013-14,21-Dec-13,Davidson,home,Non-Conference,Non-Conference,W,87,85,OT,https:///dadgumboxscores.com/boxes/2014/unc-87-davidson-85
2013-14,18-Dec-13,Texas,home,Non-Conference,Non-Conference,L,83,86,,https:///dadgumboxscores.com/boxes/2014/texas-86-unc-83
2013-14,14-Dec-13,Kentucky,home,Non-Conference,Non-Conference,W,82,77,,https:///dadgumboxscores.com/boxes/2014/unc-82-kentucky-77
2013-14,7-Dec-13,UNC-G,home,Non-Conference,Non-Conference,W,81,50,,https:///dadgumboxscores.com/boxes/2014/unc-81-uncg-50
2013-14,4-Dec-13,Michigan State,away,Non-Conference,Non-Conference,W,79,65,,https:///dadgumboxscores.com/boxes/2014/unc-79-msu-65
2013-14,1-Dec-13,UAB,away,Non-Conference,Non-Conference,L,59,63,,https:///dadgumboxscores.com/boxes/2014/uab-63-unc-59
2013-14,24-Nov-13,Louisville,neutral,Non-Conference,Non-Conference (Hall of Fame Tipoff),W,93,84,,https:///dadgumboxscores.com/boxes/2014/unc-93-lville-84
2013-14,23-Nov-13,Richmond,neutral,Non-Conference,Non-Conference (Hall of Fame Tipoff),W,82,72,,https:///dadgumboxscores.com/boxes/2014/unc-82-richmond-72
2013-14,17-Nov-13,Belmont,home,Non-Conference,Non-Conference (Hall of Fame Tipoff),L,80,83,,https:///dadgumboxscores.com/boxes/2014/belmont-83-unc-80
2013-14,15-Nov-13,Holy Cross,home,Non-Conference,Non-Conference (Hall of Fame Tipoff),W,62,54,,https:///dadgumboxscores.com/boxes/2014/unc-62-hc-54
2013-14,8-Nov-13,Oakland,home,Non-Conference,Non-Conference,W,84,61,,https:///dadgumboxscores.com/boxes/2014/unc-84-oak-61
2012-13,24-Mar-13,Kansas,neutral,NCAA Tournament,NCAA Tournament 2nd Round,L,58,70,,https:///dadgumboxscores.com/boxes/2013/kansas-70-unc-58
2012-13,22-Mar-13,Villanova,neutral,NCAA Tournament,NCAA Tournament 1st Round,W,78,71,,https:///dadgumboxscores.com/boxes/2013/unc-78-nova-71
2012-13,17-Mar-13,Miami,neutral,ACC Tournament,ACC Tournament Championship,L,77,87,,https:///dadgumboxscores.com/boxes/2013/miami-87-unc-77
2012-13,16-Mar-13,Maryland,neutral,ACC Tournament,ACC Tournament Semifinal,W,79,76,,https:///dadgumboxscores.com/boxes/2013/unc-79-maryland-76
2012-13,15-Mar-13,Florida State,neutral,ACC Tournament,ACC Tournament Quarterfinal,W,83,62,,https:///dadgumboxscores.com/boxes/2013/unc-83-fsu-62
2012-13,9-Mar-13,Duke,home,League,League,L,53,69,,https:///dadgumboxscores.com/boxes/2013/duke-69-unc-53
2012-13,6-Mar-13,Maryland,away,League,League,W,79,68,,https:///dadgumboxscores.com/boxes/2013/unc-79-maryland-68
2012-13,3-Mar-13,Florida State,home,League,League,W,79,58,,https:///dadgumboxscores.com/boxes/2013/unc-79-fsu-58
2012-13,28-Feb-13,Clemson,away,League,League,W,68,59,,https:///dadgumboxscores.com/boxes/2013/unc-68-clem-59
2012-13,23-Feb-13,NC State,home,League,League,W,76,65,,https:///dadgumboxscores.com/boxes/2013/unc-76-state-65
2012-13,19-Feb-13,Georgia Tech,away,League,League,W,70,58,,https:///dadgumboxscores.com/boxes/2013/unc-70-gt-58
2012-13,16-Feb-13,UVA,home,League,League,W,93,81,,https:///dadgumboxscores.com/boxes/2013/unc-93-uva-81
2012-13,13-Feb-13,Duke,away,League,League,L,68,73,,https:///dadgumboxscores.com/boxes/2013/duke-73-unc-68
2012-13,9-Feb-13,Miami,away,League,League,L,61,87,,https:///dadgumboxscores.com/boxes/2013/miami-87-unc-61
2012-13,5-Feb-13,Wake Forest,home,League,League,W,87,62,,https:///dadgumboxscores.com/boxes/2013/unc-87-wake-62
2012-13,2-Feb-13,Virginia Tech,home,League,League,W,72,60,OT,https:///dadgumboxscores.com/boxes/2013/unc-72-vt-60
2012-13,29-Jan-13,Boston College,away,League,League,W,82,70,,https:///dadgumboxscores.com/boxes/2013/unc-82-bc-70
2012-13,26-Jan-13,NC State,away,League,League,L,83,91,,https:///dadgumboxscores.com/boxes/2013/state-91-unc-83
2012-13,23-Jan-13,Georgia Tech,home,League,League,W,79,63,,https:///dadgumboxscores.com/boxes/2013/unc-79-gt-63
2012-13,19-Jan-13,Maryland,home,League,League,W,62,52,,https:///dadgumboxscores.com/boxes/2013/unc-62-maryland-52
2012-13,12-Jan-13,Florida State,away,League,League,W,77,72,,https:///dadgumboxscores.com/boxes/2013/unc-77-fsu-72
2012-13,10-Jan-13,Miami,home,League,League,L,59,68,,https:///dadgumboxscores.com/boxes/2013/miami-68-unc-59
2012-13,6-Jan-13,UVA,away,League,League,L,52,61,,https:///dadgumboxscores.com/boxes/2013/uva-61-unc-52
2012-13,29-Dec-12,UNLV,home,Non-Conference,Non-Conference,W,79,73,,https:///dadgumboxscores.com/boxes/2013/unc-79-unlv-73
2012-13,22-Dec-12,McNeese State,home,Non-Conference,Non-Conference,W,97,63,,https:///dadgumboxscores.com/boxes/2013/unc-97-mcst-63
2012-13,19-Dec-12,Texas,away,Non-Conference,Non-Conference,L,67,85,,https:///dadgumboxscores.com/boxes/2013/texas-85-unc-67
2012-13,15-Dec-12,East Carolina,home,Non-Conference,Non-Conference,W,93,87,,https:///dadgumboxscores.com/boxes/2013/unc-93-ecu-87
2012-13,8-Dec-12,East Tenn. St.,home,Non-Conference,Non-Conference,W,78,55,,https:///dadgumboxscores.com/boxes/2013/unc-78-etsu-55
2012-13,1-Dec-12,UAB,home,Non-Conference,Non-Conference,W,102,84,,https:///dadgumboxscores.com/boxes/2013/unc-102-uab-84
2012-13,27-Nov-12,Indiana,away,Non-Conference,Non-Conference,L,59,83,,https:///dadgumboxscores.com/boxes/2013/ind-83-unc-59
2012-13,21-Nov-12,Chaminade,neutral,Non-Conference,Non-Conference (Maui Invitational),W,112,70,,https:///dadgumboxscores.com/boxes/2013/unc-112-cham-70
2012-13,20-Nov-12,Butler,neutral,Non-Conference,Non-Conference (Maui Invitational),L,71,82,,https:///dadgumboxscores.com/boxes/2013/butler-82-unc-71
2012-13,19-Nov-12,Mississippi State,neutral,Non-Conference,Non-Conference (Maui Invitational),W,95,49,,https:///dadgumboxscores.com/boxes/2013/unc-95-ms-49
2012-13,16-Nov-12,Long Beach State,away,Non-Conference,Non-Conference,W,78,63,,https:///dadgumboxscores.com/boxes/2013/unc-78-lbsu-63
2012-13,11-Nov-12,Florida Atlantic,home,Non-Conference,Non-Conference,W,70,56,,https:///dadgumboxscores.com/boxes/2013/unc-70-fau-56
2012-13,9-Nov-12,Gardner Webb,home,Non-Conference,Non-Conference,W,76,59,,https:///dadgumboxscores.com/boxes/2013/unc-76-gw-59
2011-12,25-Mar-12,Kansas,neutral,NCAA Tournament,NCAA Tournament Elite 8,L,67,80,,https:///dadgumboxscores.com/boxes/2012/kansas-80-unc-67
2011-12,23-Mar-12,Ohio,neutral,NCAA Tournament,NCAA Tournament Sweet 16,W,73,65,,https:///dadgumboxscores.com/boxes/2012/unc-73-ohio-65
2011-12,18-Mar-12,Creighton,neutral,NCAA Tournament,NCAA Tournament 2nd Round,W,87,73,,https:///dadgumboxscores.com/boxes/2012/unc-87-creighton-73
2011-12,16-Mar-12,Vermont,neutral,NCAA Tournament,NCAA Tournament 1st Round,W,77,58,,https:///dadgumboxscores.com/boxes/2012/unc-77-vermont-58
2011-12,11-Mar-12,Florida State,neutral,ACC Tournament,ACC Tournament Championship,L,82,85,,https:///dadgumboxscores.com/boxes/2012/fsu-85-unc-82
2011-12,10-Mar-12,NC State,neutral,ACC Tournament,ACC Tournament Semifinal,W,69,67,,https:///dadgumboxscores.com/boxes/2012/unc-69-state-67
2011-12,9-Mar-12,Maryland,neutral,ACC Tournament,ACC Tournament Quarterfinal,W,85,69,,https:///dadgumboxscores.com/boxes/2012/unc-85-maryland-69
2011-12,3-Mar-12,Duke,away,League,League,W,88,70,,https:///dadgumboxscores.com/boxes/2012/unc-88-duke-70
2011-12,29-Feb-12,Maryland,home,League,League,W,88,64,,https:///dadgumboxscores.com/boxes/2012/unc-88-maryland-64
2011-12,25-Feb-12,UVA,away,League,League,W,54,51,,https:///dadgumboxscores.com/boxes/2012/unc-54-uva-51
2011-12,21-Feb-12,NC State,away,League,League,W,86,74,,https:///dadgumboxscores.com/boxes/2012/unc-86-state-74
2011-12,18-Feb-12,Clemson,home,League,League,W,74,52,,https:///dadgumboxscores.com/boxes/2012/unc-74-clem-52
