season,opponent,result,oefg,opm,opa,opmp,otpm,otpa,otmp,otmpa,ofpa,ofpt,otft
2019-20,Duke,L,45,30,62,48.4,4,18,22.2,22.5,26,34,76.5
2019-20,Florida State,L,45.5,19,40,47.5,4,15,26.7,27.3,15,17,88.2
2019-20,Boston College,L,52.7,19,38,50,7,18,38.9,32.1,12,17,70.6
2019-20,NC State,W,45.5,24,46,52.2,4,20,20,30.3,5,7,71.4
2019-20,Miami,W,46.5,18,34,52.9,6,24,25,41.4,17,18,94.4
2019-20,Virginia Tech,L,47.7,10,28,35.7,14,37,37.8,56.9,17,21,81
2019-20,Pittsburgh,L,44.3,13,28,46.4,7,25,28,47.2,19,27,70.4
2019-20,Clemson,L,52.2,17,36,47.2,12,31,38.7,46.3,9,13,69.2
2019-20,Pittsburgh,L,52.9,14,30,46.7,9,22,40.9,42.3,18,22,81.8
2019-20,Georgia Tech,L,63.9,30,47,63.8,6,14,42.9,23,18,24,75
2019-20,Yale,W,44.4,12,27,44.4,8,27,29.6,50,19,22,86.4
2019-20,UCLA,W,45.8,21,38,55.3,4,21,19,35.6,10,18,55.6
2019-20,Gonzaga,L,67,26,41,63.4,9,18,50,30.5,15,22,68.2
2019-20,Wofford,L,48.5,11,26,42.3,14,40,35,60.6,4,6,66.7
2019-20,UVA,L,38.8,10,32,31.2,6,17,35.3,34.7,18,25,72
2019-20,Ohio State,L,55.4,16,30,53.3,10,26,38.5,46.4,12,15,80
2019-20,Oregon,W,44.3,13,40,32.5,12,30,40,42.8,12,20,60
2019-20,Michigan,L,59.8,17,30,56.7,11,26,42.3,46.4,6,10,60
2019-20,Alabama,W,46.3,15,37,40.5,11,31,35.5,45.6,4,9,44.4
2019-20,Elon,W,41.3,8,31,25.8,12,32,37.5,50.8,9,9,100
2019-20,Gardner Webb,W,41.2,16,34,47.1,5,23,21.7,40.4,14,18,77.8
2019-20,UNC-Wilmington,W,38.2,20,44,45.5,5,28,17.9,28.9,7,11,63.6
2019-20,Notre Dame,W,41.9,15,37,40.5,9,31,29,45.6,8,14,57.1
2018-19,Auburn,L,67.4,19,29,65.5,17,37,45.9,56.1,8,17,47.1
2018-19,Washington,W,45.8,14,31,45.2,9,29,31,48.3,4,10,40
2018-19,Iona,W,53.6,7,14,50,15,41,36.6,74.5,14,15,93.3
2018-19,Duke,L,51.5,26,45,57.8,5,20,25,30.8,7,13,53.8
2018-19,Louisville,W,49.2,16,30,53.3,11,36,30.6,54.5,5,8,62.5
2018-19,Duke,W,39.7,17,41,41.5,8,32,25,43.8,12,17,70.6
2018-19,Boston College,W,42.9,12,34,35.3,12,36,33.3,51.4,6,10,60
2018-19,Clemson,W,54.4,19,35,54.3,8,22,36.4,38.6,17,22,77.3
2018-19,Syracuse,W,60,15,29,51.7,14,31,45.2,51.7,13,23,56.5
2018-19,Florida State,W,39,8,28,28.6,10,31,32.3,52.5,13,16,81.3
2018-19,Duke,W,40.3,17,33,51.5,8,39,20.5,54.2,14,19,73.7
2018-19,Wake Forest,W,35.8,18,44,40.9,4,23,17.4,34.3,9,13,69.2
2018-19,UVA,L,65.6,13,25,52,11,20,55,44.4,10,18,55.6
2018-19,Miami ,W,57.4,18,37,48.6,14,31,45.2,45.6,7,7,100
2018-19,NC State,W,54.7,30,57,52.6,7,17,41.2,23,15,24,62.5
2018-19,Louisville,W,50,16,33,48.5,10,29,34.5,46.8,7,9,77.8
2018-19,Georgia Tech,W,36.7,19,44,43.2,2,16,12.5,26.7,10,13,76.9
2018-19,Virginia Tech,W,54.9,14,33,42.4,13,28,46.4,45.9,15,16,93.8
2018-19,Miami,W,57.3,18,34,52.9,9,21,42.9,38.2,13,18,72.2
2018-19,Notre Dame,W,49.2,15,33,45.5,10,28,35.7,45.9,9,14,64.3
2018-19,Louisville,L,62,17,28,60.7,11,26,42.3,48.1,16,26,61.5
2018-19,NC State,W,48,23,45,51.1,8,28,28.6,38.4,12,17,70.6
2018-19,Pittsburgh,W,32.3,17,43,39.5,2,19,10.5,30.6,20,32,62.5
2018-19,Harvard,W,46.3,13,30,43.3,8,24,33.3,44.4,7,13,53.8
2018-19,Davidson,W,37.3,10,29,34.5,10,38,26.3,56.7,10,11,90.9
2018-19,Kentucky,L,50,19,39,48.7,9,26,34.6,40,15,22,68.2
2018-19,Gonzaga,W,57.1,24,41,58.5,8,22,36.4,34.9,18,23,78.3
2018-19,UNC-Wilmington,W,41.9,14,35,40,8,27,29.6,43.5,17,21,81
2018-19,Michigan,L,67.6,20,32,62.5,11,22,50,40.7,11,23,47.8
2018-19,UCLA,W,52.5,16,37,43.2,10,22,45.5,37.3,16,26,61.5
2018-19,Texas,L,61.9,20,35,57.1,11,24,45.8,40.7,19,29,65.5
2018-19,St. Francis PA,W,41.8,13,38,34.2,10,29,34.5,43.3,20,27,74.1
2018-19,Tennessee Tech,W,39.1,19,39,48.7,4,25,16,39.1,8,13,61.5
2018-19,Stanford,W,45.5,20,45,44.4,7,22,31.8,32.8,11,15,73.3
2018-19,Elon,W,41.5,14,30,46.7,7,29,24.1,49.2,18,28,64.3
2018-19,Wofford,W,45.2,15,28,53.6,9,35,25.7,55.6,10,11,90.9
2017-18,Texas A&M,L,60,21,36,58.3,10,24,41.7,40,13,21,61.9
2017-18,Lipscomb,W,41.4,16,36,44.4,7,28,25,43.8,13,15,86.7
2017-18,UVA,L,51,12,33,36.4,9,17,52.9,34,20,22,90.9
2017-18,Duke,W,46.3,16,31,51.6,6,23,26.1,42.6,19,23,82.6
2017-18,Miami,W,41.4,20,51,39.2,6,19,31.6,27.1,7,13,53.8
2017-18,Syracuse,W,38.1,12,40,30,8,23,34.8,36.5,11,14,78.6
2017-18,Duke,L,52.4,19,37,51.4,9,25,36,40.3,9,20,45
2017-18,Miami,L,63.7,23,40,57.5,11,22,50,35.5,12,13,92.3
2017-18,Syracuse,W,50,17,35,48.6,8,23,34.8,39.7,16,17,94.1
2017-18,Louisville,W,50.8,21,45,46.7,7,17,41.2,27.4,13,22,59.1
2017-18,Notre Dame,W,46.5,12,31,38.7,10,27,37,46.6,12,23,52.2
2017-18,NC State,W,60.2,28,51,54.9,7,13,53.8,20.3,12,19,63.2
2017-18,Duke,W,55.6,21,37,56.8,9,25,36,40.3,9,12,75
2017-18,Pittsburgh,W,46.7,13,30,43.3,10,30,33.3,50,9,15,60
2017-18,Clemson,L,51.6,9,31,29,15,30,50,49.2,19,27,70.4
2017-18,NC State,L,54.6,19,46,41.3,15,30,50,39.5,12,18,66.7
2017-18,Virginia Tech,L,57.1,18,33,54.5,12,30,40,47.6,8,12,66.7
2017-18,Georgia Tech,W,52.5,24,42,57.1,5,18,27.8,30,3,6,50
2017-18,Clemson,W,58,16,25,64,11,31,35.5,55.4,14,21,66.7
2017-18,Notre Dame,W,42.4,13,42,31,10,24,41.7,36.4,12,15,80
2017-18,Boston College,W,48.4,12,29,41.4,12,33,36.4,53.2,6,13,46.2
2017-18,UVA,L,52.8,16,31,51.6,8,22,36.4,41.5,5,9,55.6
2017-18,Florida State,L,58.8,17,28,60.7,11,29,37.9,50.9,14,22,63.6
2017-18,Wake Forest,W,48.4,14,34,41.2,11,29,37.9,46,8,16,50
2017-18,Ohio State,W,48.3,21,43,48.8,5,16,31.2,27.1,15,19,78.9
2017-18,Wofford,L,49.2,21,42,50,7,22,31.8,34.4,16,18,88.9
2017-18,Tennessee,W,44,16,42,38.1,9,25,36,37.3,14,17,82.4
2017-18,Western Carolina,W,42.6,11,33,33.3,12,35,34.3,51.5,3,6,50
2017-18,Tulane,W,44.9,16,42,38.1,10,27,37,39.1,11,16,68.8
2017-18,Davidson,W,51.6,12,31,38.7,14,33,42.4,51.6,9,10,90
2017-18,Michigan,W,50,18,32,56.2,10,34,29.4,51.5,5,11,45.5
2017-18,Michigan State,L,49.1,12,29,41.4,10,26,38.5,47.3,9,13,69.2
2017-18,Arkansas,W,43.8,18,45,40,9,27,33.3,37.5,5,8,62.5
2017-18,Portland,W,48.6,16,45,35.6,13,28,46.4,38.4,7,10,70
2017-18,Stanford,W,49.1,17,37,45.9,7,19,36.8,33.9,17,28,60.7
2017-18,Bucknell,W,54.8,18,35,51.4,11,28,39.3,44.4,12,18,66.7
2017-18,Northern Iowa,W,53.6,10,27,37,13,28,46.4,50.9,10,15,66.7
2016-17,Gonzaga,W,40.7,12,40,30,8,19,42.1,32.2,17,26,65.4
2016-17,Oregon,W,44,15,32,46.9,7,26,26.9,44.8,25,28,89.3
2016-17,Kentucky,W,46.9,20,46,43.5,7,19,36.8,29.2,12,19,63.2
2016-17,Butler,W,50,19,34,55.9,8,28,28.6,45.2,18,21,85.7
2016-17,Arkansas,W,50,18,39,46.2,8,21,38.1,35,5,8,62.5
2016-17,Texas Southern,W,42.5,15,33,45.5,7,27,25.9,45,13,16,81.3
2016-17,Duke,L,60,15,33,45.5,10,17,58.8,34,33,37,89.2
2016-17,Miami,W,40.6,14,32,43.8,5,21,23.8,39.6,10,16,62.5
2016-17,Duke,W,50.9,17,35,48.6,7,19,36.8,35.2,28,35,80
2016-17,UVA,L,40.7,9,35,25.7,10,24,41.7,40.7,5,8,62.5
2016-17,Pittsburgh,W,46.9,12,24,50,7,24,29.2,50,22,30,73.3
2016-17,Louisville,W,48.4,22,41,53.7,5,20,25,32.8,4,13,30.8
2016-17,UVA,W,29.6,13,34,38.2,2,20,10,37,9,12,75
2016-17,NC State,W,51.9,15,28,53.6,8,24,33.3,46.2,19,24,79.2
2016-17,Duke,L,64,17,30,56.7,13,27,48.1,47.4,13,16,81.3
2016-17,Notre Dame,W,52.7,16,30,53.3,9,26,34.6,46.4,17,20,85
2016-17,Pittsburgh,W,67.6,17,25,68,13,29,44.8,53.7,5,5,100
2016-17,Miami,L,47.3,16,36,44.4,7,20,35,35.7,24,30,80
2016-17,Virginia Tech,W,59.8,17,26,65.4,9,25,36,49,11,18,61.1
2016-17,Boston College,W,55.9,20,41,48.8,12,27,44.4,39.7,6,7,85.7
2016-17,Syracuse,W,52.5,16,35,45.7,10,24,41.7,40.7,6,7,85.7
2016-17,Florida State,W,53,22,39,56.4,9,28,32.1,41.8,12,26,46.2
2016-17,Wake Forest,W,51.5,17,38,44.7,11,27,40.7,41.5,20,28,71.4
2016-17,NC State,W,42.1,16,40,40,7,23,30.4,36.5,3,11,27.3
2016-17,Clemson,W,53.7,20,40,50,11,28,39.3,41.2,13,19,68.4
2016-17,Georgia Tech,L,44.3,19,42,45.2,3,11,27.3,20.8,28,33,84.8
2016-17,Monmouth,W,39.3,14,42,33.3,9,28,32.1,40,19,26,73.1
2016-17,Northern Iowa,W,39.6,10,24,41.7,6,24,25,50,4,8,50
2016-17,Kentucky,L,60.8,30,56,53.6,10,18,55.6,24.3,13,21,61.9
2016-17,Tennessee,W,54.6,25,41,61,3,13,23.1,24.1,12,15,80
2016-17,Davidson,W,47.5,16,30,53.3,8,29,27.6,49.2,18,21,85.7
2016-17,Radford,W,35.5,13,37,35.1,6,25,24,40.3,6,10,60
2016-17,Indiana,L,55.8,17,31,54.8,8,21,38.1,40.4,18,27,66.7
2016-17,Wisconsin,W,45.5,13,33,39.4,8,22,36.4,40,6,10,60
2016-17,Oklahoma State,W,40.3,20,50,40,6,22,27.3,30.6,17,23,73.9
2016-17,Chaminade,W,44.8,11,30,36.7,10,28,35.7,48.3,9,14,64.3
2016-17,Hawai'i,W,49.2,19,38,50,7,22,31.8,36.7,9,11,81.8
2016-17,Long Beach State,W,40.9,18,40,45,6,26,23.1,39.4,13,19,68.4
2016-17,Chattanooga,W,40.5,15,36,41.7,7,27,25.9,42.9,6,9,66.7
2016-17,Tulane,W,43.1,13,42,31,12,30,40,41.7,13,19,68.4
2015-16,Villanova,L,66.7,20,34,58.8,8,14,57.1,29.2,13,17,76.5
2015-16,Syracuse,W,47,19,41,46.3,8,25,32,37.9,4,13,30.8
2015-16,Notre Dame,W,64.3,18,31,58.1,9,18,50,36.7,11,14,78.6
2015-16,Indiana,W,51.6,12,30,40,13,31,41.9,50.8,23,26,88.5
2015-16,Providence,W,45.6,17,34,50,6,23,26.1,40.4,14,23,60.9
2015-16,Florida Gulf-Coast,W,44.8,23,47,48.9,2,11,18.2,19,15,24,62.5
2015-16,UVA,W,42.9,15,39,38.5,8,24,33.3,38.1,3,3,100
2015-16,Notre Dame,W,35,10,31,32.3,5,19,26.3,38,12,17,70.6
2015-16,Pittsburgh,W,49.1,19,42,45.2,5,12,41.7,22.2,18,25,72
2015-16,Duke,W,47,12,33,36.4,13,34,38.2,50.7,9,15,60
2015-16,Syracuse,W,45.5,18,36,50,5,20,25,35.7,19,23,82.6
2015-16,UVA,L,50,20,45,44.4,7,16,43.8,26.2,18,21,85.7
2015-16,NC State,W,41.5,18,43,41.9,6,22,27.3,33.8,14,17,82.4
2015-16,Miami,W,47.5,19,40,47.5,6,19,31.6,32.2,15,26,57.7
2015-16,Duke,L,46.9,20,46,43.5,7,19,36.8,29.2,13,16,81.3
2015-16,Pittsburgh,W,44,16,46,34.8,9,21,42.9,31.3,5,13,38.5
2015-16,Boston College,W,49.1,13,30,43.3,9,24,37.5,44.4,12,15,80
2015-16,Notre Dame,L,37.1,20,50,40,3,16,18.8,24.2,31,38,81.6
2015-16,Louisville,L,47.5,21,46,45.7,5,14,35.7,23.3,14,21,66.7
2015-16,Boston College,W,53.9,13,25,52,10,27,37,51.9,6,8,75
2015-16,Virginia Tech,W,48,12,30,40,8,20,40,40,22,32,68.8
2015-16,Wake Forest,W,41.8,25,49,51,2,18,11.1,26.9,12,20,60
2015-16,NC State,W,43.6,18,43,41.9,4,12,33.3,21.8,7,10,70
2015-16,Syracuse,W,50,18,32,56.2,9,31,29,49.2,10,12,83.3
2015-16,Florida State,W,48.5,18,48,37.5,10,20,50,29.4,24,34,70.6
2015-16,Georgia Tech,W,47.7,20,49,40.8,7,15,46.7,23.4,7,19,36.8
2015-16,Clemson,W,46.2,14,34,41.2,7,19,36.8,35.8,20,26,76.9
2015-16,UNC-G,W,51.8,16,31,51.6,9,26,34.6,45.6,4,11,36.4
2015-16,Appalachian State,W,50.8,19,44,43.2,8,17,47.1,27.9,8,13,61.5
2015-16,UCLA,W,52.4,21,46,45.7,8,17,47.1,27,10,18,55.6
2015-16,Tulane,W,50.8,26,46,56.5,4,17,23.5,27,8,14,57.1
2015-16,Texas,L,56.5,17,38,44.7,12,24,50,38.7,14,23,60.9
2015-16,Davidson,W,40.3,15,36,41.7,8,31,25.8,46.3,11,13,84.6
2015-16,Maryland,W,61,18,33,54.5,12,26,46.2,44.1,9,11,81.8
2015-16,Kansas State,W,46.8,17,46,37,8,16,50,25.8,12,19,63.2
2015-16,Northwestern,W,51,13,32,40.6,9,20,45,38.5,16,19,84.2
2015-16,Northern Iowa,L,51.8,13,29,44.8,11,28,39.3,49.1,12,19,63.2
2015-16,Wofford,W,48.2,14,33,42.4,9,24,37.5,42.1,3,5,60
2015-16,Fairfield,W,43.1,13,30,43.3,10,35,28.6,53.8,9,15,60
2015-16,Temple,W,46,15,37,40.5,9,25,36,40.3,10,17,58.8
2014-15,Wisconsin,L,52.7,19,35,54.3,7,21,33.3,37.5,20,23,87
2014-15,Arkansas,W,43.1,16,40,40,8,25,32,38.5,22,27,81.5
2014-15,Harvard,W,42.7,16,42,38.1,5,13,38.5,23.6,18,20,90
2014-15,Notre Dame,L,64.6,16,28,57.1,10,20,50,41.7,28,32,87.5
2014-15,UVA,W,49,18,36,50,5,16,31.2,30.8,16,20,80
2014-15,Louisville,W,38.1,18,41,43.9,4,22,18.2,34.9,12,20,60
2014-15,Boston College,W,43.4,14,32,43.8,6,21,28.6,39.6,17,22,77.3
2014-15,Duke,L,53.4,18,34,52.9,9,25,36,42.4,21,26,80.8
2014-15,Georgia Tech,W,33.6,18,42,42.9,1,16,6.2,27.6,10,19,52.6
2014-15,Miami,W,48.2,18,33,54.5,6,23,26.1,41.1,10,15,66.7
2014-15,NC State,L,41.2,13,37,35.1,7,20,35,35.1,11,16,68.8
2014-15,Georgia Tech,W,43.3,17,44,38.6,6,16,37.5,26.7,8,17,47.1
2014-15,Duke,L,58.5,23,49,46.9,10,16,62.5,24.6,16,31,51.6
2014-15,Pittsburgh,L,71.9,29,42,69,8,15,53.3,26.3,7,13,53.8
2014-15,Boston College,W,49.1,20,33,60.6,5,23,21.7,41.1,13,19,68.4
2014-15,UVA,L,56.2,24,44,54.5,5,12,41.7,21.4,12,18,66.7
2014-15,Louisville,L,39.2,15,44,34.1,7,21,33.3,32.3,27,44,61.4
2014-15,Syracuse,W,47.8,22,44,50,7,24,29.2,35.3,18,23,78.3
2014-15,Florida State,W,50.8,19,38,50,8,23,34.8,37.7,12,17,70.6
2014-15,Wake Forest,W,45.8,17,36,47.2,7,24,29.2,40,16,26,61.5
2014-15,Virginia Tech,W,45.3,9,24,37.5,10,29,34.5,54.7,5,11,45.5
2014-15,NC State,W,47.7,21,44,47.7,7,22,31.8,33.3,16,22,72.7
2014-15,Louisville,W,52.5,22,40,55,6,19,31.6,32.2,9,11,81.8
2014-15,Notre Dame,L,56,13,27,48.1,10,23,43.5,46,15,19,78.9
2014-15,Clemson,W,34,9,27,33.3,6,26,23.1,49.1,14,21,66.7
2014-15,William & Mary,W,44.3,13,26,50,7,27,25.9,50.9,17,24,70.8
2014-15,UAB,W,33,15,34,44.1,3,25,12,42.4,19,28,67.9
2014-15,Ohio State,W,41.7,15,43,34.9,10,29,34.5,40.3,14,18,77.8
2014-15,UNC-G,W,40.2,15,32,46.9,5,24,20.8,42.9,11,26,42.3
2014-15,Kentucky,L,63.5,20,33,60.6,7,15,46.7,31.2,23,31,74.2
2014-15,East Carolina,W,36.2,19,44,43.2,4,25,16,36.2,14,19,73.7
2014-15,Iowa,L,35.5,15,35,42.9,3,20,15,36.4,21,24,87.5
2014-15,Florida,W,37.7,14,34,41.2,6,27,22.2,44.3,18,23,78.3
2014-15,UCLA,W,39.8,16,30,53.3,1,14,7.1,31.8,21,33,63.6
2014-15,Butler,L,36.8,13,44,29.5,9,28,32.1,38.9,21,29,72.4
2014-15,Davidson,W,41.2,14,38,36.8,11,36,30.6,48.6,11,13,84.6
2014-15,Robert Morris,W,41,16,41,39,6,20,30,32.8,9,14,64.3
2014-15,NC Central,W,36.6,13,39,33.3,5,17,29.4,30.4,19,29,65.5
2013-14,Iowa State,L,53,17,40,42.5,12,26,46.2,39.4,15,21,71.4
2013-14,Providence,W,56.6,24,37,64.9,4,16,25,30.2,17,21,81
2013-14,Pittsburgh,L,56.7,22,39,56.4,5,13,38.5,25,21,41,51.2
2013-14,Duke,L,57.9,21,34,61.8,8,23,34.8,40.4,27,31,87.1
2013-14,Notre Dame,W,53.9,19,33,57.6,6,19,31.6,36.5,5,12,41.7
2013-14,Virginia Tech,W,43.3,9,21,42.9,7,24,29.2,53.3,17,21,81
2013-14,NC State,W,52.4,22,40,55,7,22,31.8,35.5,19,31,61.3
2013-14,Wake Forest,W,54.5,21,43,48.8,6,12,50,21.8,12,22,54.5
2013-14,Duke,W,46.8,22,41,53.7,5,22,22.7,34.9,7,12,58.3
2013-14,Florida State,W,47.4,20,45,44.4,5,13,38.5,22.4,20,28,71.4
2013-14,Pittsburgh,W,43.8,22,49,44.9,4,15,26.7,23.4,15,23,65.2
2013-14,Notre Dame,W,50.9,19,34,55.9,6,21,28.6,38.2,6,10,60
2013-14,Maryland,W,44.6,16,33,48.5,6,23,26.1,41.1,13,20,65
2013-14,NC State,W,42.4,25,56,44.6,2,10,20,15.2,14,26,53.8
2013-14,Georgia Tech,W,45.5,19,38,50,4,17,23.5,30.9,15,26,57.7
2013-14,Clemson,W,39.6,12,38,31.6,6,15,40,28.3,19,25,76
2013-14,UVA,L,55.6,18,34,52.9,8,20,40,37,16,29,55.2
2013-14,Boston College,W,55.2,10,25,40,11,23,47.8,47.9,18,26,69.2
2013-14,Syracuse,L,38.3,17,41,41.5,4,19,21.1,31.7,11,15,73.3
2013-14,Miami,L,47,16,33,48.5,5,17,29.4,34,16,26,61.5
2013-14,Wake Forest,L,50,24,42,57.1,2,12,16.7,22.2,19,33,57.6
2013-14,UNC-Wilmington,W,33.6,16,44,36.4,3,17,17.6,27.9,10,13,76.9
2013-14,NKU,W,37.1,17,43,39.5,5,23,21.7,34.8,11,16,68.8
2013-14,Davidson ,W,52.2,22,45,48.9,9,23,39.1,33.8,14,24,58.3
2013-14,Texas,L,45.8,21,51,41.2,8,21,38.1,29.2,20,33,60.6
2013-14,Kentucky,W,44.4,18,42,42.9,4,12,33.3,22.2,29,43,67.4
2013-14,UNC-G,W,43.9,17,35,48.6,3,14,21.4,28.6,7,13,53.8
2013-14,Michigan State,W,41.4,16,40,40,7,24,29.2,37.5,12,18,66.7
2013-14,UAB,L,33.1,16,50,32,3,12,25,19.4,22,28,78.6
2013-14,Louisville,W,47,15,36,41.7,11,31,35.5,46.3,21,25,84
2013-14,Richmond,W,52,15,27,55.6,7,22,31.8,44.9,21,29,72.4
2013-14,Belmont,L,59.4,9,16,56.2,15,37,40.5,69.8,20,22,90.9
2013-14,Holy Cross,W,34.3,10,29,34.5,5,22,22.7,43.1,19,26,73.1
2013-14,Oakland,W,43.6,12,30,40,8,25,32,45.5,13,18,72.2
2012-13,Kansas,L,48.2,19,41,46.3,5,14,35.7,25.5,17,21,81
2012-13,Villanova,W,47.5,23,40,57.5,4,21,19,34.4,13,19,68.4
2012-13,Miami,L,61,18,37,48.6,12,22,54.5,37.3,15,20,75
2012-13,Maryland,W,47.5,17,40,42.5,8,21,38.1,34.4,18,26,69.2
2012-13,Florida State,W,48,20,39,51.3,3,12,25,23.5,13,18,72.2
2012-13,Duke,L,60.2,22,34,64.7,5,15,33.3,30.6,10,12,83.3
2012-13,Maryland,W,45.2,24,40,60,3,23,13,36.5,11,15,73.3
2012-13,Florida State,W,40.3,19,44,43.2,4,18,22.2,29,8,8,100
2012-13,Clemson,W,43.1,19,41,46.3,4,17,23.5,29.3,9,11,81.8
2012-13,NC State,W,48.4,22,45,48.9,5,16,31.2,26.2,6,13,46.2
2012-13,Georgia Tech,W,46.5,15,37,40.5,8,21,38.1,36.2,4,11,36.4
2012-13,UVA,W,69.8,19,32,59.4,12,21,57.1,39.6,7,11,63.6
2012-13,Duke,L,50,19,40,47.5,6,16,37.5,28.6,17,20,85
2012-13,Miami,L,67.5,16,31,51.6,15,26,57.7,45.6,10,12,83.3
2012-13,Wake Forest,W,45.5,22,37,59.5,2,18,11.1,32.7,12,17,70.6
2012-13,Virginia Tech,W,41.9,20,49,40.8,4,13,30.8,21,8,10,80
2012-13,Boston College,W,50.9,18,36,50,7,20,35,35.7,13,17,76.5
2012-13,NC State,L,54.6,25,52,48.1,7,13,53.8,20,20,23,87
2012-13,Georgia Tech,W,38.7,23,60,38.3,4,15,26.7,20,5,6,83.3
2012-13,Maryland,W,40.6,20,41,48.8,1,12,8.3,22.6,9,14,64.3
2012-13,Florida State,W,59,13,28,46.4,11,22,50,44,13,17,76.5
2012-13,Miami,L,55.7,16,27,59.3,9,26,34.6,49.1,9,13,69.2
2012-13,UVA,L,53.1,14,35,40,8,14,57.1,28.6,9,18,50
2012-13,UNLV,W,52.5,19,42,45.2,8,17,47.1,28.8,11,21,52.4
2012-13,McNeese State,W,37.7,23,56,41.1,3,17,17.6,23.3,8,19,42.1
2012-13,Texas,L,44.6,24,57,42.1,6,17,35.3,23,19,26,73.1
2012-13,East Carolina,W,49.2,18,40,45,10,27,37,40.3,21,27,77.8
2012-13,East Tenn. St.,W,39.5,14,38,36.8,7,24,29.2,38.7,6,12,50
2012-13,UAB,W,50,20,49,40.8,12,27,44.4,35.5,8,11,72.7
2012-13,Indiana,L,50,25,54,46.3,8,20,40,27,9,12,75
2012-13,Chaminade,W,48.5,12,31,38.7,13,34,38.2,52.3,7,10,70
2012-13,Butler,L,58.5,13,28,46.4,12,25,48,47.2,20,25,80
2012-13,Mississippi State,W,30,15,43,34.9,2,17,11.8,28.3,13,19,68.4
2012-13,Long Beach State,W,39.9,20,44,45.5,5,25,20,36.2,8,12,66.7
2012-13,Florida Atlantic,W,35.2,8,32,25,9,29,31,47.5,13,21,61.9
2012-13,Gardner Webb,W,45.5,16,33,48.5,6,22,27.3,40,9,14,64.3
2011-12,Kansas,L,49.2,25,49,51,4,14,28.6,22.2,18,24,75
2011-12,Ohio,W,40.9,11,39,28.2,12,32,37.5,45.1,7,8,87.5
2011-12,Creighton,W,47.1,20,48,41.7,8,20,40,29.4,9,12,75
2011-12,Vermont,W,42.1,22,45,48.9,3,18,16.7,28.6,5,8,62.5
2011-12,Florida State,L,68.8,22,34,64.7,11,22,50,39.3,8,11,72.7
2011-12,NC State,W,47.4,23,47,48.9,3,11,27.3,19,12,18,66.7
2011-12,Maryland,W,45.2,16,38,42.1,8,24,33.3,38.7,13,21,61.9
2011-12,Duke,W,46,20,42,47.6,6,21,28.6,33.3,12,21,57.1
2011-12,Maryland,W,40.5,18,43,41.9,5,20,25,31.7,13,21,61.9
2011-12,UVA,W,40,15,37,40.5,6,23,26.1,38.3,3,6,50
2011-12,NC State,W,43.6,26,57,45.6,3,13,23.1,18.6,13,23,56.5
2011-12,Clemson,W,43.8,12,31,38.7,6,17,35.3,35.4,10,16,62.5
2011-12,Miami,W,45.3,17,41,41.5,8,23,34.8,35.9,6,8,75
2011-12,UVA,W,39.1,17,39,43.6,3,16,18.8,29.1,9,13,69.2
2011-12,Duke,L,54.8,13,26,50,14,36,38.9,58.1,17,26,65.4
2011-12,Maryland,W,44.3,21,44,47.7,4,17,23.5,27.9,20,27,74.1
2011-12,Wake Forest,W,31.5,14,36,38.9,2,18,11.1,33.3,19,26,73.1
2011-12,Georgia Tech,W,52.2,22,48,45.8,9,20,45,29.4,10,11,90.9
2011-12,NC State,W,44.7,12,37,32.4,9,20,45,35.1,4,9,44.4
2011-12,Virginia Tech,W,46.3,12,37,32.4,13,31,41.9,45.6,5,6,83.3
2011-12,Florida State,L,58.1,18,35,51.4,12,27,44.4,43.5,18,24,75
