season,opponent,result,efg,pm,pa,pmp,tpm,tpa,tmp,tmpa,fpa,fpt,tft
2020-21,NC Central,W,48,21,35,60,2,15,13.3,30,25,31,80.6
2020-21,Iowa,L,52.3,25,50,50,6,15,40,23.1,12,20,60
2020-21,Texas,L,42.2,23,49,46.9,1,9,11.1,15.5,18,32,56.2
2020-21,Stanford,W,50,20,40,50,4,12,33.2,23.1,15,24,62.5
2020-21,UNLV,W,47.5,18,40,45,7,20,35,33.3,21,32,65.6
2020-21,College of Charleston,W,42.3,24,53,45.3,4,18,22.2,25.4,19,24,79.2
2019-20,Syracuse,L,35,18,44,40.9,2,16,12.5,26.7,11,13,84.6
2019-20,Virginia Tech,W,52.7,19,43,44.2,7,13,53.8,23.2,19,25,76
2019-20,Duke,L,43.7,25,59,42.4,4,12,33.3,16.9,14,20,70
2019-20,Wake Forest,W,59,21,44,47.7,10,17,58.8,27.9,21,28,75
2019-20,Syracuse,W,60.2,22,38,57.9,11,26,42.3,40.6,15,17,88.2
2019-20,NC State,W,51.6,27,45,60,3,18,18.8,26.2,22,31,71
2019-20,Louisville,L,45.3,15,31,48.4,6,22,27.3,41.5,7,8,87.5
2019-20,Notre Dame,L,48.5,20,46,43.5,8,20,40,30.3,12,14,85.7
2019-20,UVA,L,53,22,40,55,3,10,30,20,9,14,64.3
2019-20,Wake Forest,L,34.1,20,47,42.6,1,16,6.2,25.4,14,16,87.5
2019-20,Duke,L,54.4,33,57,57.9,3,12,25,17.4,21,38,55.3
2019-20,Florida State,L,35.3,15,49,30.6,6,19,31.6,27.9,11,17,64.7
2019-20,Boston College,L,39.3,18,42,42.9,4,19,21.1,31.1,22,31,71
2019-20,NC State,W,50.9,26,48,54.2,2,9,22.2,15.8,17,25,68
2019-20,Miami,W,65.2,30,46,65.2,10,23,43.5,33.3,4,6,66.7
2019-20,Virginia Tech,L,49.2,21,42,50,7,22,31.8,34.4,14,20,70
2019-20,Pittsburgh,L,35,15,42,35.7,4,18,22.2,30,10,21,47.6
2019-20,Clemson,L,47,22,40,55,6,26,23.1,39.4,14,20,70
2019-20,Pittsburgh,L,45.1,20,40,50,5,21,23.8,34.4,10,17,58.8
2019-20,Georgia Tech,L,47.6,21,49,42.9,6,14,42.9,22.2,23,27,85.2
2019-20,Yale,W,40.9,20,52,38.5,6,19,31.6,26.8,12,17,70.6
2019-20,UCLA,W,47.3,17,37,45.9,6,18,33.3,32.7,22,35,62.9
2019-20,Gonzaga,L,50.7,24,49,49,7,19,36.8,27.9,12,17,70.6
2019-20,Wofford,L,41.3,17,44,38.6,6,19,31.6,30.2,12,20,60
2019-20,UVA,L,38,16,32,50,1,14,7.1,30.4,12,22,54.5
2019-20,Ohio State,L,33.1,10,39,25.6,7,23,30.4,37.1,8,13,61.5
2019-20,Oregon,W,46.8,20,39,51.3,6,23,26.1,37.1,20,21,95.2
2019-20,Michigan,L,44.3,24,48,50,2,13,15.4,21.3,10,20,50
2019-20,Alabama,W,44.4,24,57,42.1,5,14,35.7,27.9,13,21,61.9
2019-20,Elon,W,44.9,26,49,53.1,3,19,15.8,27.9,14,23,60.9
2019-20,Gardner Webb,W,50.9,20,39,51.3,6,18,33.3,31.6,19,25,76
2019-20,UNC-Wilmington,W,43.1,19,47,40.4,8,25,32,41.7,16,30,53.3
2019-20,Notre Dame,W,54.2,17,39,43.6,10,20,50,33.9,10,17,58.8
2018-19,Auburn,L,48.5,21,37,56.8,7,28,25,43.10%,17,22,77.3
2018-19,Washington,W,57.9,23,42,54.8,9,21,42.9,33.30%,8,10,80
2018-19,Iona,W,51.3,28,53,52.8,7,22,31.8,29.30%,11,15,73.3
2018-19,Duke,L,42.5,25,47,53.2,4,26,15.4,35.60%,11,15,73.3
2018-19,Louisville,W,51.5,23,45,51.1,7,20,35,30.80%,16,21,76.2
2018-19,Duke,W,48.6,18,43,41.9,12,31,38.7,41.90%,7,13,53.8
2018-19,Boston College,W,46.7,25,54,46.3,7,22,31.8,28.90%,8,13,61.5
2018-19,Clemson,W,51.6,13,30,43.3,13,33,39.4,52.40%,16,24,66.7
2018-19,Syracuse,W,47.6,16,33,48.5,9,29,31,46.80%,34,37,91.9
2018-19,Florida State,W,48.4,19,41,46.3,7,20,35,32.80%,18,25,72
2018-19,Duke,W,52,36,55,65.5,2,20,10,26.70%,10,14,71.4
2018-19,Wake Forest,W,75.4,22,36,61.1,16,25,64,41.00%,3,11,27.3
2018-19,UVA,L,42.3,14,35,40,9,30,30,46.20%,6,7,85.7
2018-19,Miami ,W,56.8,18,40,45,13,26,50,39.40%,13,17,76.5
2018-19,NC State,W,62.1,29,45,64.4,8,21,38.1,31.80%,31,37,83.8
2018-19,Louisville,W,46.4,23,45,51.1,6,24,25,34.80%,15,19,78.9
2018-19,Georgia Tech,W,58.2,16,34,47.1,13,27,48.1,44.30%,6,11,54.5
2018-19,Virginia Tech,W,65.7,20,33,60.6,16,34,47.1,50.70%,15,17,88.2
2018-19,Miami,W,62.5,24,40,60,9,20,45,33.30%,10,14,71.4
2018-19,Notre Dame,W,46.3,18,47,38.3,9,21,42.9,30.90%,12,20,60
2018-19,Louisville,L,37.1,17,36,47.2,3,22,13.6,37.90%,19,27,70.4
2018-19,NC State,W,53.1,19,39,48.7,10,25,40,39.10%,22,26,84.6
2018-19,Pittsburgh,W,50,22,50,44,10,24,41.7,32.40%,11,17,64.7
2018-19,Harvard,W,46.8,20,41,48.8,6,21,28.6,33.90%,19,22,86.4
2018-19,Davidson,W,50.9,18,36,50,8,23,34.8,39.00%,22,27,81.5
2018-19,Kentucky,L,48.4,20,45,44.4,7,18,38.9,28.60%,11,16,68.8
2018-19,Gonzaga,W,64.8,22,39,56.4,13,25,52,39.10%,20,25,80
2018-19,UNC-Wilmington,W,53.3,31,51,60.8,6,24,25,32.00%,17,28,60.7
2018-19,Michigan,L,44.7,19,45,42.2,7,21,33.3,31.80%,8,13,61.5
2018-19,UCLA,W,57,20,41,48.8,11,23,47.8,35.90%,21,28,75
2018-19,Texas,L,52.1,20,41,48.8,11,29,37.9,41.40%,16,21,76.2
2018-19,St. Francis PA,W,60,24,40,60,10,25,40,38.50%,23,27,85.2
2018-19,Tennessee Tech,W,58.8,36,51,70.6,5,23,21.7,31.10%,21,26,80.8
2018-19,Stanford,W,53.5,29,58,50,6,13,46.2,18.30%,14,21,66.7
2018-19,Elon,W,55.8,38,63,60.3,7,24,29.2,27.60%,19,27,70.4
2018-19,Wofford,W,56.8,20,37,54.1,9,22,40.9,37.30%,11,15,73.3
2017-18,Texas A&M,L,37.2,20,47,42.6,6,31,19.4,39.70%,7,7,100
2017-18,Lipscomb,W,59.2,22,38,57.9,9,22,40.9,36.70%,13,18,72.2
2017-18,UVA,L,51,10,24,41.7,10,25,40,51.00%,13,17,76.5
2017-18,Duke,W,44.4,21,47,44.7,7,24,29.2,33.80%,11,15,73.3
2017-18,Miami,W,45.1,23,46,50,6,25,24,35.20%,18,23,78.3
2017-18,Syracuse,W,49.1,19,38,50,6,19,31.6,33.30%,22,28,78.6
2017-18,Duke,L,42.9,18,39,46.2,8,31,25.8,44.30%,4,5,80
2017-18,Miami,L,65.8,18,30,60,13,27,48.1,47.40%,13,20,65
2017-18,Syracuse,W,50.8,21,43,48.8,8,22,36.4,33.80%,12,15,80
2017-18,Louisville,W,56.8,24,47,51.1,12,27,44.4,36.50%,9,10,90
2017-18,Notre Dame,W,58.3,26,44,59.1,6,16,37.5,26.70%,13,20,65
2017-18,NC State,W,60.6,34,54,63,6,17,35.3,23.90%,10,13,76.9
2017-18,Duke,W,46.1,19,44,43.2,11,33,33.3,42.90%,11,13,84.6
2017-18,Pittsburgh,W,59.3,25,43,58.1,11,27,40.7,38.60%,13,17,76.5
2017-18,Clemson,L,53.2,18,38,47.4,10,24,41.7,38.70%,12,14,85.7
2017-18,NC State,L,55.6,34,53,64.2,4,19,21.1,26.40%,11,20,55
2017-18,Virginia Tech,L,50.8,17,32,53.1,10,31,32.3,49.20%,5,5,100
2017-18,Georgia Tech,W,46.2,23,45,51.1,5,21,23.8,31.80%,19,24,79.2
2017-18,Clemson,W,65.7,11,20,55,15,31,48.4,60.80%,20,24,83.3
2017-18,Notre Dame,W,47.5,20,40,50,6,21,28.6,34.40%,11,17,64.7
2017-18,Boston College,W,55.8,30,51,58.8,9,27,33.3,34.60%,9,9,100
2017-18,UVA,L,37,8,31,25.8,8,23,34.8,42.60%,9,11,81.8
2017-18,Florida State,L,47.4,20,48,41.7,11,29,37.9,37.70%,7,9,77.8
2017-18,Wake Forest,W,44.9,20,46,43.5,7,22,31.8,32.40%,12,18,66.7
2017-18,Ohio State,W,57,13,32,40.6,13,25,52,43.90%,21,25,84
2017-18,Wofford,L,42.7,13,30,43.3,7,25,28,45.50%,28,38,73.7
2017-18,Tennessee,W,47.8,23,50,46,6,17,35.3,25.40%,14,19,73.7
2017-18,Western Carolina,W,69.2,21,43,48.8,16,22,72.7,33.80%,14,21,66.7
2017-18,Tulane,W,69.8,33,46,71.7,5,12,41.7,20.70%,16,29,55.2
2017-18,Davidson,W,50.7,27,48,56.2,5,20,25,29.40%,16,23,69.6
2017-18,Michigan,W,60.5,27,47,57.4,7,15,46.7,24.20%,11,16,68.8
2017-18,Michigan State,L,25.4,14,43,32.6,1,18,5.6,29.50%,14,24,58.3
2017-18,Arkansas,W,55.6,23,47,48.9,8,16,50,25.40%,17,21,81
2017-18,Portland,W,56.4,29,54,53.7,10,24,41.7,30.80%,14,20,70
2017-18,Stanford,W,58.2,26,47,55.3,11,26,42.3,35.60%,11,15,73.3
2017-18,Bucknell,W,51.5,25,49,51,6,17,35.3,25.80%,25,33,75.8
2017-18,Northern Iowa,W,54.8,25,44,56.8,6,18,33.3,29.00%,18,21,85.7
2016-17,Gonzaga,W,38.4,22,46,47.8,4,27,14.8,37.00%,15,26,57.7
2016-17,Oregon,W,42.6,17,47,36.2,8,21,38.1,30.90%,19,27,70.4
2016-17,Kentucky,W,49.1,24,43,55.8,3,15,20,25.90%,18,26,69.2
2016-17,Butler,W,62.3,22,33,66.7,9,24,37.5,42.10%,21,33,63.6
2016-17,Arkansas,W,42.1,19,46,41.3,5,17,29.4,27.00%,19,25,76
2016-17,Texas Southern,W,56,30,53,56.6,8,22,36.4,29.30%,19,26,73.1
2016-17,Duke,L,44.2,27,56,48.2,5,22,22.7,28.20%,14,18,77.8
2016-17,Miami,W,59.4,21,36,58.3,7,17,41.2,32.10%,15,18,83.3
2016-17,Duke,W,55.2,28,50,56,6,17,35.3,25.40%,16,21,76.2
2016-17,UVA,L,39.6,13,32,40.6,4,16,25,33.30%,5,7,71.4
2016-17,Pittsburgh,W,52,23,49,46.9,10,24,41.7,32.90%,9,15,60
2016-17,Louisville,W,42.7,16,44,36.4,7,18,38.9,29.00%,21,29,72.4
2016-17,UVA,W,52.6,20,39,51.3,7,19,36.8,32.80%,4,7,57.1
2016-17,NC State,W,60.7,35,52,67.3,7,23,30.4,30.70%,6,8,75
2016-17,Duke,L,55.7,28,49,57.1,4,12,33.3,19.70%,10,18,55.6
2016-17,Notre Dame,W,54.1,24,44,54.5,6,17,35.3,27.90%,17,28,60.7
2016-17,Pittsburgh,W,57.8,20,34,58.8,9,24,37.5,41.40%,13,19,68.4
2016-17,Miami,L,40.8,14,36,38.9,7,24,29.2,40.00%,13,19,68.4
2016-17,Virginia Tech,W,58.9,22,43,51.2,14,30,46.7,41.10%,5,9,55.6
2016-17,Boston College,W,51.6,24,50,48,6,14,42.9,21.90%,24,29,82.8
2016-17,Syracuse,W,56.6,28,44,63.6,7,24,29.2,35.30%,8,15,53.3
2016-17,Florida State,W,48,23,55,41.8,8,18,44.4,24.70%,26,37,70.3
2016-17,Wake Forest,W,57.8,25,46,54.3,8,18,44.4,28.10%,19,24,79.2
2016-17,NC State,W,57,27,52,51.9,12,27,44.4,34.20%,17,25,68
2016-17,Clemson,W,51.3,25,54,46.3,10,24,41.7,30.80%,9,12,75
2016-17,Georgia Tech,L,36.8,19,46,41.3,5,26,19.2,36.10%,10,14,71.4
2016-17,Monmouth,W,47.9,24,52,46.2,7,20,35,27.80%,33,46,71.7
2016-17,Northern Iowa,W,57.7,27,46,58.7,7,19,36.8,29.20%,10,16,62.5
2016-17,Kentucky,L,59.9,26,49,53.1,9,17,52.9,25.80%,21,28,75
2016-17,Tennessee,W,41.1,27,56,48.2,2,17,11.8,23.30%,13,24,54.2
2016-17,Davidson,W,45.9,13,37,35.1,10,24,41.7,39.30%,27,34,79.4
2016-17,Radford,W,59.2,25,45,55.6,9,20,45,30.80%,18,29,62.1
2016-17,Indiana,L,44.3,18,40,45,6,21,28.6,34.40%,13,22,59.1
2016-17,Wisconsin,W,51.8,25,45,55.6,3,12,25,21.10%,12,12,100
2016-17,Oklahoma State,W,64.1,29,47,61.7,8,17,47.1,26.60%,25,29,86.2
2016-17,Chaminade,W,63.3,30,44,68.2,7,20,35,31.30%,23,34,67.6
2016-17,Hawai'i,W,53.7,24,46,52.2,8,21,38.1,31.30%,11,15,73.3
2016-17,Long Beach State,W,57.5,27,45,60,5,15,33.3,25.00%,24,35,68.6
2016-17,Chattanooga,W,53.6,27,55,49.1,7,15,46.7,21.40%,22,32,68.8
2016-17,Tulane,W,55.8,25,49,51,9,20,45,29.00%,18,25,72
2015-16,Villanova,L,51.6,16,46,34.8,11,17,64.7,27.00%,9,13,69.2
2015-16,Syracuse,W,56.9,31,48,64.6,4,17,23.5,26.20%,9,11,81.8
2015-16,Notre Dame,W,65.4,28,39,71.8,4,13,30.8,25.00%,20,24,83.3
2015-16,Indiana,W,60.5,21,42,50,11,20,55,32.30%,26,33,78.8
2015-16,Providence,W,55.9,27,45,60,4,14,28.6,23.70%,19,21,90.5
2015-16,Florida Gulf-Coast,W,47.3,24,52,46.2,7,21,33.3,28.80%,14,19,73.7
2015-16,UVA,W,54.3,21,35,60,3,12,25,25.50%,10,13,76.9
2015-16,Notre Dame,W,47.8,24,54,44.4,6,15,40,21.70%,12,19,63.2
2015-16,Pittsburgh,W,64.3,27,42,64.3,6,14,42.9,25.00%,16,18,88.9
2015-16,Duke,W,38.4,22,50,44,4,23,17.4,31.50%,20,23,87
2015-16,Syracuse,W,45.6,22,43,51.2,6,25,24,36.80%,13,19,68.4
2015-16,UVA,L,56.8,20,40,50,9,19,47.4,32.20%,7,13,53.8
2015-16,NC State,W,50,28,53,52.8,4,15,26.7,22.10%,12,15,80
2015-16,Miami,W,60.4,30,52,57.7,9,20,45,27.80%,9,13,69.2
2015-16,Duke,L,43.6,29,57,50.9,1,13,7.7,18.60%,12,15,80
2015-16,Pittsburgh,W,66.7,24,39,61.5,8,15,53.3,27.80%,13,15,86.7
2015-16,Boston College,W,56.7,22,36,61.1,5,16,31.2,30.80%,9,12,75
2015-16,Notre Dame,L,50.9,21,47,44.7,6,12,50,20.30%,16,21,76.2
2015-16,Louisville,L,37.1,17,41,41.5,3,17,17.6,29.30%,22,29,75.9
2015-16,Boston College,W,58.2,30,50,60,6,17,35.3,25.40%,11,22,50
2015-16,Virginia Tech,W,39.9,25,51,49,3,23,13,31.10%,16,25,64
2015-16,Wake Forest,W,40.4,25,55,45.5,3,18,16.7,24.70%,24,34,70.6
2015-16,NC State,W,41.7,20,46,43.5,5,20,25,30.30%,12,19,63.2
2015-16,Syracuse,W,54.9,29,45,64.4,3,16,18.8,26.20%,17,20,85
2015-16,Florida State,W,54,32,59,54.2,6,17,35.3,22.40%,24,32,75
2015-16,Georgia Tech,W,52.5,28,47,59.6,2,12,16.7,20.30%,24,29,82.8
2015-16,Clemson,W,53.9,27,51,52.9,5,13,38.5,20.30%,11,14,78.6
2015-16,UNC-G,W,60,30,46,65.2,6,19,31.6,29.20%,18,22,81.8
2015-16,Appalachian State,W,49.3,31,61,50.8,3,11,27.3,15.30%,23,27,85.2
2015-16,UCLA,W,55.1,32,50,64,4,19,21.1,27.50%,13,19,68.4
2015-16,Tulane,W,56.9,26,48,54.2,10,24,41.7,33.30%,14,21,66.7
2015-16,Texas,L,58,20,34,58.8,6,16,37.5,32.00%,24,28,85.7
2015-16,Davidson,W,56,30,52,57.7,8,23,34.8,30.70%,14,17,82.4
2015-16,Maryland,W,60.5,24,49,49,9,13,69.2,21.00%,14,25,56
2015-16,Kansas State,W,51.6,23,42,54.8,6,20,30,32.30%,16,20,80
2015-16,Northwestern,W,50.8,21,38,55.3,7,24,29.2,38.70%,17,19,89.5
2015-16,Northern Iowa,L,49.1,21,40,52.5,5,18,27.8,31.00%,10,13,76.9
2015-16,Wofford,W,52.4,31,53,58.5,1,9,11.1,14.50%,13,19,68.4
2015-16,Fairfield,W,56.1,25,43,58.1,8,23,34.8,34.80%,18,32,56.3
2015-16,Temple,W,56,27,55,49.1,7,12,58.3,17.90%,16,23,69.6
2014-15,Wisconsin,L,53.6,18,43,41.9,8,13,61.5,23.20%,12,18,66.7
2014-15,Arkansas,W,48.3,23,50,46,4,10,40,16.70%,29,37,78.4
2014-15,Harvard,W,60.2,22,42,52.4,5,7,71.4,14.30%,8,13,61.5
2014-15,Notre Dame,L,58.3,28,42,66.7,7,24,29.2,36.40%,5,7,71.4
2014-15,UVA,W,63.1,16,28,57.1,7,14,50,33.30%,18,27,66.7
2014-15,Louisville,W,46.6,20,48,41.7,5,11,45.5,18.60%,15,17,88.2
2014-15,Boston College,W,53.1,27,53,50.9,5,12,41.7,18.50%,12,16,75
2014-15,Duke,L,55.2,20,42,47.6,8,16,50,27.60%,13,13,100
2014-15,Georgia Tech,W,57.8,28,46,60.9,6,18,33.3,28.10%,7,11,63.6
2014-15,Miami,W,50,21,46,45.7,5,11,45.5,19.30%,16,21,76.2
2014-15,NC State,L,37.3,16,43,37.2,3,12,25,21.80%,5,9,55.6
2014-15,Georgia Tech,W,66.4,33,52,63.5,5,9,55.6,14.80%,8,11,72.7
2014-15,Duke,L,47,36,73,49.3,2,10,20,12.00%,12,20,60
2014-15,Pittsburgh,L,52.5,25,44,56.8,4,15,26.7,25.40%,14,23,60.9
2014-15,Boston College,W,57.8,28,46,60.9,1,5,20,9.80%,20,27,74.1
2014-15,UVA,L,48.2,21,47,44.7,4,9,44.4,16.10%,10,13,76.9
2014-15,Louisville,L,47.5,21,44,47.7,5,16,31.2,26.70%,11,20,55
