season,opponent,result,unc,opp,pointspread,refone,reftwo,refthree
2008-09,Oklahoma,W,72,60,-7,Tom Eades,Verne Harris,John Hughes
2008-09,Gonzaga,W,98,77,-7.5,Scott Thornley,John Higgins,Mark Whitehead
2008-09,LSU,W,84,70,-12.5,Karl Hess,Pat Driscoll,Doug Sirmons
2008-09,Radford,W,101,58,-25,Pat Driscoll,Doug Sirmons,Jeffrey Anderson
2008-09,Florida State,L,70,73,-9,Jamie Luckie,Bryan Kersey,Sean Hull
2008-09,Virginia Tech,W,79,76,-11.5,Karl Hess,Ray Natili,Brian Dorsey
2008-09,Duke,W,79,71,-8.5,Jamie Luckie,Bryan Kersey,Mike Eades
2008-09,Virginia Tech,W,86,78,-9.5,Ed Corbett,Sean Hull,Ray Natili
2008-09,Georgia Tech,W,104,74,-23,Karl Hess,Les Jones,Roger Ayers
2008-09,Maryland,L,85,88,-12,Karl Hess,Gary Maxwell,Brian Dorsey
2008-09,NC State,W,89,80,-19.5,Jamie Luckie,Ed Corbett,Mike Eades
2008-09,Miami,W,69,65,-8,John Cahill,Sean Hull,Mike Kitts
2008-09,Duke,W,101,87,-2,Karl Hess,Tony Greene,Mike Wood
2008-09,UVA,W,76,61,-24,Bernard Clinton,Ray Natili,Robert Donato
2008-09,Maryland,W,108,91,-22,John Cahill,Roger Ayers,Tony Greene
2008-09,NC State,W,93,76,-15,Karl Hess,Mike Eades,Brian Dorsey
2008-09,Florida State,W,80,77,-11,Karl Hess,Mike Eades,Brian Dorsey
2008-09,Clemson,W,94,70,-13,Karl Hess,Roger Ayers,Robert Donato
2008-09,Miami,W,82,65,-17.5,Les Jones,Mike Wood,Mike Eades
2008-09,UVA,W,83,61,-16.5,Ed Corbett,John Cahill,Tony Greene
2008-09,Wake Forest,L,89,92,-6.5,Karl Hess,Bernard Clinton,Jamie Luckie
2008-09,College of Charleston,W,108,70,-27,Karl Hess,Les Jones,Bryan Kersey
2008-09,Boston College,L,78,85,-23,Gary Maxwell,Mike Eades,Robert Donato
2008-09,Nevada,W,84,61,-18.5,Randy McCall,Verne Harris,Bruce Hicks
2008-09,Rutgers,W,97,75,-33,Jamie Luckie,Sean Hull,Robert Donato
2008-09,Valparaiso,W,85,63,-29,Brian Dorsey,Jim Ferrari,Peter Juzenas
2008-09,Evansville,W,91,73,-30.5,Karl Hess,Bryan Kersey,Mark Schnur
2008-09,Oral Roberts,W,100,84,-36,Jamie Luckie,Mike Wood,Brian Dorsey
2008-09,Michigan State,W,98,63,-10,Ed Hightower,Jim Burr,Steve Welmer
2008-09,Asheville,W,116,48,,Ray Natili,Tony Greene,Mike Nance
2008-09,Notre Dame,W,102,87,-10.5,Jamie Luckie,Robert Donato,Verne Harris
2008-09,Oregon,W,98,69,-17.5,Mike Kitts,J.D. Collins,Bert Smith
2008-09,Chaminade,W,115,70,,Dwayne Gladden,Tom Defelice,Verne Harris
2008-09,UC Santa Barbara,W,84,67,-19,Dick Cartmell,Mike Scyphers,Duane Allen
2008-09,Kentucky,W,77,58,-18.5,Karl Hess,Gary Maxwell,Roger Ayers
2008-09,Penn,W,86,71,-32.5,Bryan Kersey,Jeff Clark,Tim Kelly
2007-08,Kansas,L,66,84,-2.5,Tony Greene,Tom Eades,Verne Harris
2007-08,Louisville,W,83,73,-5.5,Ed Corbett,Scott Thornley,Terry Wymer
2007-08,Washington State,W,68,47,-8,Tim Higgins,John Hughes,Raymond Perone
2007-08,Arkansas,W,108,77,-9.5,Ed Corbett,Verne Harris,Dwayne Gladden
2007-08,Mount St. Mary's,W,113,74,-25,Paul Jenssen,Fred Davis,Gary Prager
2007-08,Clemson,W,86,81,-5.5,Jamie Luckie,Les Jones,Mike Eades
2007-08,Virginia Tech,W,68,66,-10.5,Karl Hess,Bryan Kersey,Gary Maxwell
2007-08,Florida State,W,82,70,-13.5,Bryan Kersey,Tim Nestor,Roger Ayers
2007-08,Duke,W,76,68,1.5,Karl Hess,Ted Valentine,Roger Ayers
2007-08,Florida State,W,90,77,-16,Bryan Kersey,Mike Eades,Sean Hull
2007-08,Boston College,W,90,80,-10.5,Jamie Luckie,Gary Maxwell,Roger Ayers
2007-08,Wake Forest,W,89,73,-15.5,Les Jones,Robert Donato,Reggie Greenwood
2007-08,NC State,W,84,70,-8.5,Roger Ayers,John Cahill,J.D. Collins
2007-08,Virginia Tech,W,92,53,-13,Sean Hull,Brian Dorsey,Ray Perone
2007-08,UVA,W,75,74,-7.5,Karl Hess,Ed Corbett,Tim Nestor
2007-08,Clemson,W,103,93,-8.5,Ted Valentine,Bernard Clinton,Tony Greene
2007-08,Duke,L,78,89,-4.5,Jamie Luckie,Tony Greene,Les Jones
2007-08,Florida State ,W,84,73,-9.5,Mike Eades,Tim Nestor,Mike Stuart
2007-08,Boston College,W,91,69,-18.5,Mike Wood,Curtis Shaw,Tony Greene
2007-08,Miami,W,98,82,-8,Sean Hull,Ray Natili,Tim Kelly
2007-08,Maryland,L,80,82,-18,Karl Hess,Jamie Luckie,Brian Dorsey
2007-08,Georgia Tech,W,83,82,-11,Mike Wood,Mike Eades,Roger Ayers
2007-08,NC State,W,93,62,-18.5,Bryan Kersey,Bernard Clinton,Pat Driscoll
2007-08,Asheville,W,93,81,,Les Jones,Raymond Styons,Doug Sirmons
2007-08,Clemson,W,90,88,-5.5,Gary Maxwell,Tony Greene,Ray Natili
2007-08,Kent State,W,90,61,-19,Sean Hull,Tim Nestor,Mike Kitts
2007-08,Valparaiso,W,90,58,-22.5,Gary Maxwell,Brian Dorsey,Mike Eades
2007-08,Nevada,W,106,70,-23,Karl Hess,Mike Wood,Roger Ayers
2007-08,UC Santa Barbara,W,105,70,-20.5,Ted Valentine,Bryan Kersey,Jerry Heater
2007-08,Nicholls State,W,88,78,,Les Jones,Jose Carrion,Brian Dorsey
2007-08,Rutgers,W,93,71,-19,Ed Corbett,Jamie Luckie,J.D. Collins
2007-08,Penn,W,106,71,-25.5,Jeff Clark,Jeff Nichols,Tim Kelly
2007-08,Kentucky,W,86,77,-8.5,Mike Stuart,Tom Eades,Karl Hess
2007-08,Ohio State,W,66,55,-5.5,Ted Hillary,Jim Burr,Ed Corbett
2007-08,BYU,W,73,63,-8,David Libbey,Tom Spitznagel,Kevin Cutler
2007-08,Old Dominion,W,99,82,-16.5,Verne Harris,Mike Reed,Mike Scyphers
2007-08,South Carolina State,W,110,64,,D.J. Carstensen,Frankie Bordeaux,Jay Gwynn
2007-08,Iona,W,107,72,-34,John Gaffney,Paul Faia,Earl Walton
2007-08,Davidson,W,72,68,-11,Mike Wood,Zelton Steed,Gary Maxwell
2006-07,Georgetown ,L,84,96,-3.5,Curtis Shaw,Mike Scyphers,John Higgins
2006-07,USC,W,74,64,-9,Tom Lopes,Mike Sanzere,Mike Roberts
2006-07,Michigan State,W,81,67,-10,Randy McCall,Pat Driscoll,Doug Sirmons
2006-07,EKU,W,86,65,-28,Verne Harris,Bruce Hicks,Steve Welmer
2006-07,NC State,W,89,80,-14.5,Karl Hess,Bryan Kersey,Gary Maxwell
2006-07,Boston College,W,71,56,-11,Les Jones,Jamie Luckie,Mike Eades
2006-07,Florida State,W,73,58,-11.5,Mike Wood,Les Jones,Roger Ayers
2006-07,Duke,W,86,72,-10,Karl Hess,Jamie Luckie,Les Jones
2006-07,Georgia Tech,L,77,84,-5.5,Tony Greene,Curtis Shaw,Bryan Kersey
2006-07,Maryland,L,87,89,-3.5,Gary Maxwell,Tom Lopes,Karl Hess
2006-07,NC State,W,83,64,-21,Bryan Kersey,Mike Eades,Pat Adams
2006-07,Boston College,W,77,72,-6.5,Karl Hess,Earl Walton,Ray Natili
2006-07,Virginia Tech,L,80,81,-15,Jamie Luckie,J.B. Caldwell,Curtis Shaw
2006-07,Wake Forest,W,104,67,-23.5,Les Jones,Roger Ayers,Bernard Clinton
2006-07,Duke,W,79,73,-4,Ted Valentine,Gary Maxwell,Reggie Greenwood
2006-07,NC State,L,79,83,-16.5,Bryan Kersey,Ray Natili,Curtis Shaw
2006-07,Miami,W,105,64,-24.5,Karl Hess,Mike Kitts,Robert Donato
2006-07,Arizona,W,92,64,-2.5,Bryan Kersey,Mike Eades,Mike Wood
2006-07,Wake Forest,W,88,60,-15.5,Gary Maxwell,John Cahill,Brian Dorsey
2006-07,Georgia Tech,W,77,61,-12.5,Ted Valentine,Les Jones,Ray Natili
2006-07,Clemson,W,77,55,-4,Mike Eades,Roger Ayers,Duke Edsall
2006-07,Virginia Tech,L,88,94,-4.5,Mike Wood,Ray Natili,Sean Hull
2006-07,UVA,W,79,69,-18,Mark Kitts,Curtis Shaw,Earl Walton
2006-07,Florida State,W,84,58,-15,Ted Valentine,Mike Eades,Gary Maxwell
2006-07,Penn,W,102,64,-21,Jamie Luckie,Roger Ayers,Earl Walton
2006-07,Dayton,W,81,51,-22,Karl Hess,Mike Eades,Brian Dorsey
2006-07,Rutgers,W,87,48,-26.5,Karl Hess,Bernard Clinton,Michael Stephens
2006-07,Saint Louis,W,69,48,-8.5,Robert Donato,Jim Burr,Ray Perone
2006-07,Florida Atlantic,W,105,52,-32.5,Les Jones,Tim Nestor,Sean Hull
2006-07,Asheville,W,93,62,,Mike Wood,Dan Stryffeler,Raymond Styons
2006-07,High Point,W,94,69,,Manny Upton,Jerry Heater,Roger Ayers
2006-07,Kentucky,W,75,63,-10.5,Karl Hess,Ted Valentine,Tom Lopes
2006-07,Ohio State,W,98,89,-8.5,Bryan Kersey,Tony Greene,Les Jones
2006-07,Tennessee,W,101,87,-9,Joe Lindsay,Jamie Luckie,Doug Shows
2006-07,Gonzaga,L,74,82,-7.5,Jim Burr,Ed Corbett,Mike Shepherd
2006-07,Gardner Webb,W,103,50,,Les Jones,Jerry Heater,Mark Schnur
2006-07,Winthrop,W,73,66,-11.5,Mike Kitts,Tom Lopes,Bernard Clinton
2006-07,Sacred Heart,W,103,81,-34,Doug Shows,J.B. Caldwell,Tim Clougherty
2005-06,George Mason,L,60,65,-6,Reggie Greenwood,Ted Hillary,Tom O'Neill
2005-06,Murray State,W,69,65,-10,Tom O'Neill,Mike Scyphers,Bill Vinovich
2005-06,Boston College,L,82,85,-3.5,Les Jones,Ray Natili,Mike Eades
2005-06,UVA,W,79,67,-12,Bryan Kersey,Duke Edsall,Bernard Clinton
2005-06,Duke,W,83,76,7,Karl Hess,Ted Valentine,Ray Natili
2005-06,UVA,W,99,54,-13,Gary Maxwell,Roger Ayers,Tim Nestor
2005-06,Maryland,W,81,57,-8.5,Reggie Greenwood,Tom Lopes,Brian Dorsey
2005-06,NC State,W,95,71,3,Bryan Kersey,John Cahill,Les Jones
2005-06,Wake Forest,W,83,72,-3.5,Mike Kitts,Mike Wood,Mike Stuart
2005-06,Georgia Tech,W,82,75,-11.5,Les Jones,Bernard Clinton,Roger Ayers
2005-06,Miami,W,80,70,1,Jamie Luckie,Tony Greene,Tim Nestor
2005-06,Duke,L,83,87,5.5,Jamie Luckie,Jim Burr,Tim Higgins
2005-06,Clemson,W,76,61,-7.5,Les Jones,Bryan Kersey,Jim Burr
2005-06,Maryland,W,77,62,4,Karl Hess,Ed Corbett,Mike Kitts
2005-06,Arizona,W,86,69,-3.5,Bruce Hicks,Mark Reischling,Mike Reed
2005-06,Boston College,L,74,81,-3,Gary Maxwell,Jamie Luckie,Mike Eades
2005-06,Florida State,W,81,80,3,Les Jones,Karl Hess,Tim Higgins
2005-06,UVA,L,68,72,-3,Karl Hess,Les Jones,Bernard Clinton
2005-06,Miami,L,70,81,-10.5,Gary Maxwell,Duke Edsall,Mike Wood
2005-06,Virginia Tech,W,64,61,-1,Ed Corbett,Ted Valentine,Tony Greene
2005-06,NC State,W,82,69,-2.5,Karl Hess,Jamie Luckie,Mike Wood
2005-06,Davidson,W,82,58,-10.5,Ray Natili,Curtis Blair,Mike Eades
2005-06,Asheville,W,89,47,,Ted Valentine,Tim Nestor,Roger Ayers
2005-06,USC,L,59,74,-4.5,Stanley Reynolds,Jim Giron,Martin Cota
2005-06,Santa Clara,W,76,58,-17.5,Jamie Luckie,Ray Natili,Bryan Kersey
2005-06,Saint Louis,W,75,63,-13.5,Bryan Kersey,Bernard Clinton,Mike Wood
2005-06,Kentucky,W,83,79,7,Tony Greene,Karl Hess,Doug Sirmons
2005-06,Illinois,L,64,68,-1,Jim Burr,Ray Natili,Karl Hess
2005-06,UC Santa Barbara,W,83,66,-13.5,Gary Maxwell,Mike Wood,Tim Nestor
2005-06,Cleveland State,W,112,55,-18.5,Gary Maxwell,Doug Sirmons,Dwayne Gladden
2005-06,Gardner Webb,W,83,80,,Les Jones,Tony Greene,Steve Gordon
2004-05,Illinois,W,75,70,-2,Ed Corbett,John Cahill,Verne Harris
2004-05,Michigan State,W,87,71,-4.5,Robert Donato,Reggie Greenwood,Randy McCall
2004-05,Wisconsin,W,88,82,-9.5,John Cahill,Richard Cartmell,Bruce Hicks
2004-05,Villanova,W,67,66,-11,Tom O'Neill,David Hall,Gerry Pollard
2004-05,Iowa State,W,92,65,-15.5,Scott Thornley,Eddie Jackson,Ted Hillary
2004-05,Oakland,W,96,68,-28,Ted Hillary,Mike Nance,Jim Stupin
2004-05,Georgia Tech,L,75,78,-8,Karl Hess,Bryan Kersey,Ray Natili
2004-05,Clemson,W,88,81,-16.5,Les Jones,Jamie Luckie,Tim Nestor
2004-05,Duke,W,75,73,-7.5,Larry Rose,Reggie Cofer,Gary Maxwell
2004-05,Florida State,W,91,76,-22,Bryan Kersey,Les Jones,Mike Kitts
2004-05,Maryland,W,85,83,-6.5,Karl Hess,Mike Wood,Ray Natili
2004-05,NC State,W,81,71,-7,Les Jones,Ed Corbett,Ted Valentine
2004-05,Clemson,W,88,56,-22.5,Mike Wood,Gary Maxwell,Mike Eades
2004-05,UVA,W,85,61,-23,Larry Rose,William Bush,Tim Nestor
2004-05,Connecticut,W,77,70,-8,Karl Hess,Bryan Kersey,Mike Kitts
2004-05,Duke,L,70,71,-1.5,Mike Wood,Les Jones,Bryan Kersey
2004-05,Florida State,W,81,60,-14,Duke Edsall,Steve Gordon,Tony Greene
2004-05,NC State,W,95,71,-16,Karl Hess,Reggie Cofer,Robert Donato
2004-05,UVA,W,110,76,-14,Duke Edsall,Ray Natili,Jamie Luckie
2004-05,Miami,W,87,67,-21,Duke Edsall,Steve Gordon,Roger Ayers
2004-05,Clemson,W,77,58,-12,Larry Rose,Bryan Kersey,Joe Lindsay
2004-05,Wake Forest,L,82,95,-2.5,Bernard Clinton,Karl Hess,Mike Wood
2004-05,Georgia Tech,W,91,69,-11,Larry Rose,Jamie Luckie,Robert Donato
2004-05,Maryland,W,109,75,-11.5,Larry Rose,Reggie Cofer,Ted Valentine
2004-05,William & Mary,W,105,66,-40.5,Duke Edsall,Emanuel Upton,Frank Raposo
2004-05,Cleveland State,W,107,64,-32,Ray Natili,Sean Hull,Raymond Styons
2004-05,UNC-Wilmington,W,96,75,-31,Duke Edsall,Mike Eades,Alan Spainhour
2004-05,Vermont,W,93,65,,Robert Donato,Roger Ayers,Dwayne Gladden
2004-05,Virginia Tech,W,85,51,-14.5,Karl Hess,Edwin Edsall,Bryan Kersey
2004-05,Loyola Chicago,W,109,60,-29,Reggie Cofer,Tony Greene,David Guthrie
2004-05,Kentucky,W,91,78,-8.5,Karl Hess,Les Jones,Tony Greene
2004-05,Indiana,W,70,63,-13,Jim Burr,Donnee Gray,Tim Higgins
2004-05,USC,W,97,65,-17.5,Mike Wood,Gary Maxwell,Reggie Cofer
2004-05,Iowa,W,106,92,-11,Robert Donato,Tony Greene,Verne Harris
2004-05,Tennessee,W,94,81,-10,Verne Harris,Mike Eades,Pat Evans
2004-05,BYU,W,86,50,-13,Robert Donato,Craig Peterson,J.D. Collins
2004-05,Santa Clara,L,66,77,-13,David Libbey,Mike Irving,Verne Harris
2003-04,Texas,L,75,78,-1,John Cahill,Donnee Gray,Rob Staffen
2003-04,Air Force,W,63,52,-8.5,John Cahill,Robert Adams,John Caldwell
2003-04,Georgia Tech,L,82,83,-1.5,Duke Edsall,Les Jones,Jamie Luckie
2003-04,Duke,L,65,70,9.5,Mike Wood,Gary Maxwell,Reggie Cofer
2003-04,Clemson,W,69,53,-17.5,Mike Kitts,Duke Edsall,Larry Rose
2003-04,NC State,W,71,64,4,Mike Stuart,Bryan Kersey,Robert Donato
2003-04,UVA,L,72,74,-5.5,Karl Hess,Ted Valentine,Bernard Clinton
2003-04,Florida State,W,78,71,-11.5,Mike Wood,Gary Maxwell,Steve Gordon
2003-04,Maryland,W,97,86,-8,Mike Stuart,Jamie Luckie,Reggie Cofer
2003-04,Georgia Tech,L,77,88,4.5,Karl Hess,Ray Natili,Mike Eades
2003-04,Wake Forest,W,79,73,3.5,Reggie Cofer,Jamie Luckie,Mike Wood
2003-04,Duke,L,81,83,3.5,Karl Hess,Bryan Kersey,Duke Edsall
2003-04,Clemson,L,72,81,-8.5,Ted Valentine,Ray Natili,Les Jones
2003-04,NC State,W,68,66,-9,Mike Wood,Robert Donato,William Bush
2003-04,UVA,W,96,77,-15.5,Jamie Luckie,Les Jones,Larry Rose
2003-04,Florida State,L,81,90,-4,Ted Valentine,John Cahill,Roger Ayers
2003-04,Connecticut,W,86,83,-2,Karl Hess,Robert Donato,Les Jones
2003-04,Maryland,L,84,90,2,Duke Edsall,Mike Wood,Bryan Kersey
2003-04,Georgia Tech,W,103,88,-4.5,Ed Corbett,Mike Kitts,Steve Gordon
2003-04,Miami,W,89,64,-17,Bryan Kersey,Lee Jones,Tom Lopes
2003-04,Kentucky,L,56,61,5,John Clougherty,Tom Lopes,Tom Eades
2003-04,Coastal Carolina,W,105,72,,Jamie Luckie,Alan Spainhour,Sean Hull
2003-04,UNC-Wilmington,W,71,54,-14,Mike Wood,Duke Edsall,Reggie Cofer
2003-04,Wake Forest,L,114,119,-4,Jamie Luckie,Duke Edsall,Reggie Cofer
2003-04,Akron,W,64,53,-20,Ted Valentine,Ray Natili,Robert Donato
2003-04,George Mason,W,115,81,-14.5,Les Jones,Larry Rose,Steve Gordon
2003-04,Illinois,W,88,81,-2,Reggie Cofer,Jamie Luckie,Bryan Kersey
2003-04,Cleveland State,W,82,76,-16,Gary Maxwell,Everett Summers,Sean Carpenter
2003-04,Davidson,W,91,68,-17.5,Mike Wood,Tim Nestor,Mike Eades
2003-04,Old Dominion,W,90,64,-20,Karl Hess,Mike Eades,Jerry Heater