season,opponent,result,unc,opp,off1,off2,off3,uncfouls,oppfouls,sumfouls
2014-15,Wisconsin,L,72,79,Randall McCall,Lamar Simpson,Brian O'Connell,20,18,38
2014-15,Arkansas,W,87,78,David Hall,Mike Roberts,Bert Smith,25,23,48
2014-15,Harvard,W,67,65,Lee Cassell,Mike Sanzere,Jamie Luckie,18,16,34
2014-15,Notre Dame,L,82,90,Bryan Kersey,Mike Eades,Brian Dorsey,23,13,36
2014-15,UVA,W,71,67,Roger Ayers,Raymond Styons,Jerry Heater,16,17,33
2014-15,Louisville,W,70,60,Mike Eades,Tim Nestor,Bill Covington Jr.,18,14,32
2014-15,Boston College,W,81,63,Tim Nestor,Sean Hull,Tim Kelly,17,16,33
2014-15,Duke,L,77,84,Bryan Kersey,Brian Dorsey,Sean Hull,19,15,34
2014-15,Georgia Tech,W,81,49,Mike Eades,Mike Roberts,Lamar Simpson,18,11,29
2014-15,Miami,W,73,64,Tim Comer,Jamie Luckie,Wally Rutecki,15,19,34
2014-15,NC State,L,46,58,Bryan Kersey,Mike Stuart,Raymond Styons,16,13,29
2014-15,Georgia Tech,W,89,60,Bryan Kersey,Sean Hull,Sean Casady,13,10,23
2014-15,Duke,L,90,92,Roger Ayers,Pat Driscoll,Tim Nestor,26,16,42
2014-15,Pittsburgh,L,76,89,Tim Clougherty,Jerry Heater,Michael Stephens,15,21,36
2014-15,Boston College,W,79,68,Louie Andrakakos,Dwayne Gladden,Jerry Heater,20,21,41
2014-15,UVA,L,64,75,Jamie Luckie,Mike Roberts,Pat Driscoll,16,13,29
2014-15,Louisville,L,68,78,Brian Dorsey,Bill Covington Jr.,Lamar Simpson,33,16,49
2014-15,Syracuse,W,93,83,Bryan Kersey,Brian Dorsey,Joe Lindsay,19,25,44
2014-15,Florida State,W,78,74,Brian O'Connell,Jerry Heater,Terry Wymer,18,20,38
2014-15,Wake Forest,W,87,71,Roger Ayers,Jeffrey Anderson,Michael Stephens,20,17,37
2014-15,Virginia Tech,W,68,53,Pat Driscoll,Joe Lindsay,Mike Stuart,13,19,32
2014-15,NC State,W,81,79,Jamie Luckie,Brian Dorsey,Tim Nestor,21,20,41
2014-15,Louisville,W,72,71,Roger Ayers,Sean Hull,Mike Roberts,13,12,25
2014-15,Notre Dame,L,70,71,Bryan Kersey,Doug Shows,Joe Lindsay,17,19,36
2014-15,Clemson,W,74,50,Mike Eades,Tony Greene,Sean Casady,18,15,33
2014-15,William & Mary,W,86,64,Jamie Luckie,Louie Andrakakos,Andrew Marotta,20,15,35
2014-15,UAB,W,89,58,Bryan Kersey,Les Jones,Michael Stephens,21,23,44
2014-15,Ohio State,W,82,74,Roger Ayers,Doug Shows,Michael Stephens,16,24,40
2014-15,UNC-G,W,79,56,Gary Maxwell,Dwayne Gladden,Todd Austin,22,20,42
2014-15,Kentucky,L,70,84,Tony Greene,Pat Adams,Doug Shows,22,17,39
2014-15,East Carolina,W,108,64,Roger Ayers,Bill Covington Jr.,Lamar Simpson,16,19,35
2014-15,Iowa,L,55,60,Brian Dorsey,Tim Nestor,Mike Roberts,22,20,42
2014-15,Florida,W,75,64,Gary Maxwell,Don Daily,Bert Smith,22,25,47
2014-15,UCLA,W,78,56,Gary Maxwell,Darron George,Keith Kimble,25,18,43
2014-15,Butler,L,66,74,Mike Roberts,Don Daily,Jeb Hartness,24,24,48
2014-15,Davidson,W,90,72,Bryan Kersey,Mike Eades,Doug Shows,16,18,34
2014-15,Robert Morris,W,103,59,Joe Lindsay,Anthony Franklin,Wally Rutecki,20,27,47
2014-15,NC Central,W,76,60,Raymond Styons,Tim Nestor,Jeff Nichols,24,24,48
2013-14,Iowa State,L,83,85,Tony Greene,Chris Rastatter,Bo Boroski,21,17,38
2013-14,Providence,W,79,77,Chris Rastatter,Bo Boroski,Kevin Brill,19,14,33
2013-14,Pittsburgh,L,75,80,Karl Hess,Raymond Styons,Brian Dorsey,32,26,58
2013-14,Duke,L,81,93,Karl Hess,Mike Eades,Ray Natili,22,20,42
2013-14,Notre Dame,W,63,61,Bryan Kersey,Michael Stephens,Mike Stuart,16,20,36
2013-14,Virginia Tech,W,60,56,Jamie Luckie,Tim Nestor,Lamar Simpson,20,17,37
2013-14,NC State,W,85,84,Les Jones,Brian Dorsey,Doug Shows,23,21,44
2013-14,Wake Forest,W,105,72,Les Jones,Ray Natili,Dwayne Gladden,19,22,41
2013-14,Duke,W,74,66,Bryan Kersey,Pat Driscoll,Ed Corbett,17,26,43
2013-14,Florida State,W,81,75,Brian Dorsey,Tony Greene,Brian O'Connell,25,21,46
2013-14,Pittsburgh,W,75,71,Karl Hess,Raymond Styons,Tim Kelly,20,22,42
2013-14,Notre Dame,W,73,62,Mike Eades,Brian O'Connell,Jerry Heater,12,17,29
2013-14,Maryland,W,75,63,Karl Hess,Michael Stephens,Mike Stuart,18,29,47
2013-14,NC State,W,84,70,Bryan Kersey,Joe Lindsay,Raymond Styons,23,21,44
2013-14,Georgia Tech,W,78,65,Brian Dorsey,Sean Hull,Tony Henderson,22,21,43
2013-14,Clemson,W,80,61,Karl Hess,Jamie Luckie,Tim Nestor,19,19,38
2013-14,UVA,L,61,76,Roger Ayers,Joe Lindsay,Michael Stephens,21,12,33
2013-14,Boston College,W,82,71,Tim Nestor,Tim Comer,Bill Covington Jr.,22,22,44
2013-14,Syracuse,L,45,57,Roger Ayers,Tony Greene,Ed Corbett,14,8,22
2013-14,Miami,L,57,63,Bryan Kersey,Brian Dorsey,Gary Maxwell,19,19,38
2013-14,Wake Forest,L,67,73,Mike Eades,Mike Roberts,Doug Shows,23,14,37
2013-14,UNC-Wilmington,W,84,51,Tim Nestor,Sean Casady,Jeff Nichols,16,15,31
2013-14,NKU,W,75,60,Mike Eades,Sean Hull,Terry Wymer,13,21,34
2013-14,Davidson ,W,87,85,Tim Nestor,Jeff Nichols,Raymond Styons,24,31,55
2013-14,Texas,L,83,86,Karl Hess,Les Jones,Bryan Kersey,24,31,55
2013-14,Kentucky,W,82,77,Roger Ayers,Mike Eades,Joe Lindsay,26,30,56
2013-14,UNC-G,W,81,50,Les Jones,Mike Roberts,Sean Casady,15,20,35
2013-14,Michigan State,W,79,65,Terry Wymer,Lamont Simpson,Pat Driscoll,20,19,39
2013-14,UAB,L,59,63,Don Daily,Kevin Fehr,Ron Groover,19,14,33
2013-14,Louisville,W,93,84,Bryan Kersey,Brian O'Connell,Brian Dorsey,21,29,50
2013-14,Richmond,W,82,72,Bryan Kersey,Ron Tyburski,Gary Pucino,24,26,50
2013-14,Belmont,L,80,83,Les Jones,Louie Andrakakos,Alan Spainhour,19,31,50
2013-14,Holy Cross,W,62,54,Brian Dorsey,Sean Hull,Jeffrey Anderson,25,21,46
2013-14,Oakland,W,84,61,Bryan Kersey,Jeremy Moiser,Alan Spainhour,17,19,36
2012-13,Kansas,L,58,70,Pat Adams,Mike Kitts,Mike Greenstein,20,11,31
2012-13,Villanova,W,78,71,Pat Adams,Mike Greenstein,Deron White,14,22,36
2012-13,Miami,L,77,87,Bryan Kersey,Mike Eades,Roger Ayers,18,10,28
2012-13,Maryland,W,79,76,Karl Hess,Brian Dorsey,Ray Natili,19,20,39
2012-13,Florida State,W,83,62,Karl Hess,Gary Maxwell,Raymond Styons,15,17,32
2012-13,Duke,L,53,69,Roger Ayers,Les Jones,Tim Nestor,13,14,27
2012-13,Maryland,W,79,68,Doug Sirmons,Mike Eades,Joe Lindsay,14,18,32
2012-13,Florida State,W,79,58,Ray Natili,Jamie Luckie,Bryan Kersey,13,12,25
2012-13,Clemson,W,68,59,Karl Hess,Les Jones,Ed Corbett,12,14,26
2012-13,NC State,W,76,65,Ray Natili,Doug Sirmons,Gary Maxwell,12,17,29
2012-13,Georgia Tech,W,70,58,Jamie Luckie,John Cahill,Roger Ayers,12,13,25
2012-13,UVA,W,93,81,Les Jones,Tim Kelly,Jerry Heater,11,21,32
2012-13,Duke,L,68,73,Karl Hess,Mike Eades,Bryan Kersey,18,22,40
2012-13,Miami,L,61,87,Jamie Luckie,Tim Nestor,Gary Maxwell,15,7,22
2012-13,Wake Forest,W,87,62,Les Jones,Brian Dorsey,Ed Corbett,18,19,37
2012-13,Virginia Tech,W,72,60,Ray Natili,Tim Nestor,Jerry Heater,14,20,34
2012-13,Boston College,W,82,70,Karl Hess,Michael Stephens,Ed Corbett,18,21,39
2012-13,NC State,L,83,91,Mike Eades,Mike Stuart,Raymond Styons,16,9,25
2012-13,Georgia Tech,W,79,63,Doug Sirmons,Gary Maxwell,Tim Kelly,8,23,31
2012-13,Maryland,W,62,52,Karl Hess,Ray Natili,Tim Nestor,12,17,29
2012-13,Florida State,W,77,72,Bryan Kersey,Roger Ayers,Mike Eades,13,15,28
2012-13,Miami,L,59,68,Les Jones,Michael Stephens,Joe Lindsay,11,11,22
2012-13,UVA,L,52,61,Karl Hess,Doug Sirmons,John Cahill,18,14,32
2012-13,UNLV,W,79,73,Karl Hess,Ray Natili,Les Jones,20,25,45
2012-13,McNeese State,W,97,63,Brian Dorsey,Jerry Heater,Dwayne Gladden,17,20,37
2012-13,Texas,L,67,85,Mark Whitehead,Doug Sirmons,Mike Stuart,22,21,43
2012-13,East Carolina,W,93,87,Karl Hess,Bryan Kersey,Jeff Nichols,19,20,39
2012-13,East Tenn. St.,W,78,55,Gary Maxwell,Brian Shey,Alan Spainhour,12,10,22
2012-13,UAB,W,102,84,Les Jones,Bill Covington Jr.,Alan Spainhour,12,20,32
2012-13,Indiana,L,59,83,Mike Kitts,Pat Driscoll,Bo Boroski,12,16,28
2012-13,Chaminade,W,112,70,Pat Adams,Bert Smith,Kevin Ferguson,13,20,33
2012-13,Butler,L,71,82,Tim Higgins,Pat Adams,Pat Driscoll,20,20,40
2012-13,Mississippi State,W,95,49,Jim Burr,Pat Driscoll,Ryan Wells,16,11,27
2012-13,Long Beach State,W,78,63,Dick Cartmell,Mike Scyphers,Mike Irving,12,9,21
2012-13,Florida Atlantic,W,70,56,Bryan Kersey,Raymond Styons,Andrew Marotta,19,20,39
2012-13,Gardner Webb,W,76,59,Alan Spainhour,Anthony Franklin,Ron Tyburski,11,19,30
2011-12,Kansas,L,67,80,Tony Greene,Doug Shows,James Breeding,17,16,33
2011-12,Ohio,W,73,65,Tom Eades,Don Daily,Kelly Self,13,22,35
2011-12,Creighton,W,87,73,Pat Driscoll,Mike Stuart,Tom O'Neill,8,18,26
2011-12,Vermont,W,77,58,David Hall,Bill McCarthy,Lee Cassell,10,19,29
2011-12,Florida State,L,82,85,Les Jones,Roger Ayers,Bryan Kersey,14,19,33
2011-12,NC State,W,69,67,Ray Natili,Tim Nestor,Brian Dorsey,19,23,42
2011-12,Maryland,W,85,69,Roger Ayers,Sean Hull,Ray Natili,14,18,32
2011-12,Duke,W,88,70,Karl Hess,Roger Ayers,Mike Eades,21,19,40
2011-12,Maryland,W,88,64,Brian Dorsey,Tim Kelly,Jeff Clark,20,25,45
2011-12,UVA,W,54,51,Tim Nestor,Joe Lindsay,Dwayne Gladden,11,17,28
2011-12,NC State,W,86,74,Roger Ayers,Sean Corbin,Ed Corbett,14,20,34
2011-12,Clemson,W,74,52,Les Jones,Jim Burr,Dwayne Gladden,15,12,27
2011-12,Miami,W,73,64,Bryan Kersey,Brian Dorsey,Raymond Styons,12,21,33
2011-12,UVA,W,70,52,Sean Hull,Tim Kelly,Jamie Luckie,11,19,30
2011-12,Duke,L,84,85,Bryan Kersey,Tim Nestor,John Cahill,22,25,47
2011-12,Maryland,W,83,74,Les Jones,Sean Corbin,Sean Hull,18,23,41
2011-12,Wake Forest,W,68,53,Bryan Kersey,Brian O'Connell,Michael Stephens,21,20,41
2011-12,Georgia Tech,W,93,81,Jamie Luckie,Roger Ayers,Ray Perone,11,17,28
2011-12,NC State,W,74,55,Karl Hess,Ray Natili,Doug Sirmons,15,14,29
2011-12,Virginia Tech,W,82,68,Bryan Kersey,Roger Ayers,John Cahill,11,17,28
2011-12,Florida State,L,57,90,Jamie Luckie,Mike Eades,Sean Corbin,21,23,44
2011-12,Miami,W,73,56,Bryan Kersey,Les Jones,Tim Kelly,11,17,28
2011-12,Boston College,W,83,60,Roger Ayers,Tim Nestor,Raymond Styons,13,16,29
2011-12,Monmouth,W,102,65,Sean Corbin,Bill Covington Jr.,Alan Spainhour,9,28,37
2011-12,Elon,W,100,62,Brian O'Connell,Gary Maxwell,John Gaffney,8,21,29
2011-12,Texas,W,82,63,Jamie Luckie,Roger Ayers,Joe Lindsay,15,19,34
2011-12,Nicholls State,W,99,49,Jeff Clark,Tony Dawkins,Sean Casady,13,26,39
2011-12,Appalachian State,W,97,82,Raymond Styons,Ron Groover,Jeff Nichols,15,26,41
2011-12,Long Beach State,W,84,78,Mike Eades,Brian O'Connell,Louie Andrakakos,13,14,27
2011-12,Evansville,W,97,48,Jerry Heater,Dwayne Gladden,John Gaffney,15,32,47
2011-12,Kentucky,L,72,73,Tony Greene,Mike Nance,Ron Groover,16,12,28
2011-12,Wisconsin,W,60,57,Karl Hess,Ed Corbett,Tony Greene,12,21,33
2011-12,UNLV,L,80,90,Tom O'Neill,Jon Stigliano,Pic Russell,22,26,48
2011-12,South Carolina,W,87,62,Tom O'Neill,Jon Stigliano,Mark Schnur,15,25,40
2011-12,Tennessee State,W,102,69,Roger Ayers,Dwayne Gladden,Ron Tyburski,10,16,26
2011-12,Mississippi Valley St.,W,101,75,Raymond Styons,Andrew Marotta,Tim Kelly,13,26,39
2011-12,Asheville,W,91,75,Tom Comer,Mike Eades,Jerry Heater,18,26,44
2011-12,Michigan State,W,67,55,Mike Reed,Tony Greene,James Breeding,14,25,39
2010-11,Kentucky,L,69,76,Pat Driscoll,Randy McCall,Verne Harris,17,13,30
2010-11,Marquette,W,81,63,Mark Whitehead,Joe DeRosa,Tony Padilla,16,17,33
2010-11,Washington,W,86,83,Doug Shows,Steve Olson,Don Daily,9,20,29
2010-11,LIU,W,102,87,Doug Shows,Ed Hightower,Lamont Simpson,19,28,47
2010-11,Duke,L,58,75,Karl Hess,Bryan Kersey,Jamie Luckie,16,20,36
2010-11,Clemson,W,92,87,Les Jones,Roger Ayers,Tim Nestor,17,25,42
2010-11,Miami,W,61,59,Roger Ayers,Ray Natili,Sean Corbin,13,14,27
2010-11,Duke,W,81,67,Mike Eades,Ray Natili,Les Jones,18,21,39
2010-11,Florida State,W,72,70,Bryan Kersey,Jamie Luckie,Brian Dorsey,16,16,32
2010-11,Maryland,W,87,76,Karl Hess,Ray Natili,John Cahill,15,20,35
2010-11,NC State,W,75,63,Mike Kitts,Michael Stephens,Sean Corbin,12,17,29
2010-11,Boston College,W,48,46,Roger Ayers,Mike Eades,Brian Dorsey,14,12,26
2010-11,Wake Forest,W,78,64,Karl Hess,Ray Natili,Michael Stephens,12,25,37
2010-11,Clemson,W,64,62,Mike Kitts,Sean Corbin,John Cahill,17,23,40
2010-11,Duke,L,73,79,Bryan Kersey,Roger Ayers,Joe Lindsay,23,16,39
2010-11,Florida State,W,89,69,Jim Burr,Michael Stephens,Pat Driscoll,19,22,41
2010-11,Boston College,W,106,74,Jamie Luckie,Sean Hull,Michael Stephens,16,15,31
2010-11,NC State,W,84,64,Bryan Kersey,Les Jones,Tim Nestor,18,21,39
2010-11,Miami,W,74,71,Ray Natili,Brian Dorsey,Tim Kelly,14,15,29
2010-11,Clemson,W,75,65,Mike Eades,John Cahill,Ed Corbett,12,19,31
2010-11,Georgia Tech,L,58,78,Karl Hess,Roger Ayers,Joe Lindsay,18,21,39
2010-11,Virginia Tech,W,64,61,Bryan Kersey,Sean Hull,Ed Corbett,17,21,38
2010-11,UVA,W,62,56,Les Jones,Mike Eades,Tim Nestor,13,22,35
2010-11,St. Francis PA,W,103,54,Ray Natili,Tim Nestor,Louie Andrakakos,12,22,34
2010-11,Rutgers,W,78,55,Robert Donato,Roger Ayers,Ed Corbett,14,21,35
2010-11,William & Mary,W,85,60,John Cahill,Sean Hull,Sean Corbin,15,18,33
2010-11,Texas,L,76,78,Karl Hess,Bryan Kersey,Les Jones,19,22,41
2010-11,Long Beach State,W,96,91,Tim Nestor,Sean Corbin,Tim Kelly,13,21,34
2010-11,Evansville,W,76,49,Mike Stuart,Tom Eades,Les Jones,14,24,38
2010-11,Kentucky,W,75,73,Roger Ayers,Mike Eades,Jamie Luckie,20,26,46
2010-11,Illinois,L,67,79,Mike Kitts,Terry Wymer,Lamont Simpson,15,17,32
2010-11,College of Charleston,W,74,69,Karl Hess,Les Jones,Jerry Heater,14,20,34
2010-11,Asheville,W,80,69,Mike Eades,Tim Comer,Dan Stryffeler,15,24,39
2010-11,Vanderbilt,L,65,72,Jamie Luckie,Randy Heimerman,Kevin Mathis,25,20,45
2010-11,Minnesota,L,67,72,Don Daily,Bert Smith,Steve Skiles,24,21,45
2010-11,Hofstra,W,107,63,Kelly Self,Kevin Mathis,Anthony Jordan,16,20,36
2010-11,Lipscomb,W,80,66,Ray Natili,Tony Dawkins,Sean Casady,20,25,45
2009-10,Dayton,L,68,79,Jim Burr,Pat Driscoll,Earl Walton,18,19,37
2009-10,Rhode Island ,W,68,67,Ed Corbett,Jeff Clark,James Breeding,17,18,35
2009-10,UAB,W,60,55,Mike Stuart,James Barker,Bert Smith,18,15,33
2009-10,Mississippi State,W,76,74,Mike Thibodeaux,Kevin Mathis,Glenn Tuitt,19,12,31
2009-10,William & Mary,W,80,72,Karl Hess,Brian O'Connell,Wally Rutecki,11,18,29
2009-10,Georgia Tech,L,58,62,Bryan Kersey,Mike Wood,Dwayne Gladden,15,14,29
2009-10,Duke,L,50,82,Bryan Kersey,Gary Maxwell,Mike Wood,16,22,38
2009-10,Miami,W,69,62,Karl Hess,Tony Greene,Les Jones,11,20,31
2009-10,Wake Forest,W,77,68,Roger Ayers,Raymond Styons,Jamie Luckie,17,28,45
2009-10,Florida State,L,67,77,Karl Hess,Bryan Kersey,Ray Natili,14,20,34
2009-10,Boston College,L,67,71,Jamie Luckie,Sean Hull,Pat Driscoll,14,19,33
2009-10,Georgia Tech,L,51,68,Bryan Kersey,Gary Maxwell,John Cahill,19,20,39
2009-10,NC State,W,74,61,Mike Eades,Mike Stuart,Tim Nestor,17,24,41
2009-10,Duke,L,54,64,Karl Hess,Les Jones,Roger Ayers,16,16,32
2009-10,Maryland,L,71,92,Karl Hess,Jim Burr,Bryan Kersey,13,14,27
2009-10,Virginia Tech,L,70,74,John Cahill,Mike Kitts,Tony Greene,19,24,43
2009-10,UVA,L,60,75,Mike Eades,Bernard Clinton,Brian Dorsey,16,16,32
2009-10,NC State,W,77,63,Les Jones,Ray Natili,Robert Donato,14,20,34
2009-10,Wake Forest,L,69,82,Karl Hess,Gary Maxwell,Mike Eades,18,17,35
2009-10,Georgia Tech,L,71,73,Mike Wood,Roger Ayers,Ray Perone,17,20,37
2009-10,Clemson,L,64,83,Les Jones,Bryan Kersey,Tim Nestor,16,14,30
2009-10,Virginia Tech,W,78,64,Jamie Luckie,Ray Natili,Mike Kitts,19,19,38
2009-10,College of Charleston ,L,79,82,Mike Wood,Mike Stuart,Roger Ayers,14,22,36
2009-10,Albany,W,87,70,Mike Eades,Tim Nestor,Ray Perone,14,22,36
2009-10,Rutgers,W,81,67,Jamie Luckie,Sean Hull,Mike Kitts,17,13,30
2009-10,Marshall,W,98,61,Gary Maxwell,Doug Sirmons,Jerry Heater,9,21,30
2009-10,Texas,L,90,103,Tom O'Neill,John Higgins,Mark Whitehead,25,21,46
2009-10,Presbyterian,W,103,64,Mike Wood,Ray Natili,Tony Dawkins,8,14,22
2009-10,Kentucky,L,66,68,Tony Greene,Ted Valentine,Mike Eades,18,17,35
2009-10,Michigan State,W,89,82,Bryan Kersey,Roger Ayers,Mike Kitts,15,24,39
2009-10,Nevada,W,80,73,Jamie Luckie,Ed Corbett,John Cahill,10,17,27
2009-10,Gardner Webb,W,93,72,Mike Wood,Bernard Clinton,Jerry Heater,8,23,31
