season,opponent,result,unc,opp,off1,off2,off3,uncfouls,oppfouls,sumfouls
2009-10,Syracuse,L,71,87,Tony Greene,Roger Ayers,Mike Stuart,11,18,29
2009-10,Ohio State,W,77,73,Pat Driscoll,Mike Stuart,Michael Stephens,21,22,43
2009-10,Valparaiso,W,88,77,Karl Hess,Brent Hampton,Pat Adams,15,23,38
2009-10,NC Central,W,89,42,Tim Nestor,Alan Spainhour,Steve Coleman,11,18,29
2009-10,FIU,W,88,72,Mike Wood,Raymond Styons,Bill Covington Jr.,19,18,37
2008-09,Michigan State,W,89,72,Tom O'Neill,Curtis Shaw,Tony Greene,22,28,50
2008-09,Villanova,W,83,69,Karl Hess,Scott Thornley,Pat Driscoll,20,26,46
2008-09,Oklahoma,W,72,60,Tom Eades,Verne Harris,John Hughes,19,20,39
2008-09,Gonzaga,W,98,77,Scott Thornley,John Higgins,Mark Whitehead,17,19,36
2008-09,LSU,W,84,70,Karl Hess,Pat Driscoll,Doug Sirmons,9,16,25
2008-09,Radford,W,101,58,Pat Driscoll,Doug Sirmons,Jeffrey Anderson,13,17,30
2008-09,Florida State,L,70,73,Jamie Luckie,Bryan Kersey,Sean Hull,17,19,36
2008-09,Virginia Tech,W,79,76,Karl Hess,Ray Natili,Brian Dorsey,14,20,34
2008-09,Duke,W,79,71,Jamie Luckie,Bryan Kersey,Mike Eades,19,22,41
2008-09,Virginia Tech,W,86,78,Ed Corbett,Sean Hull,Ray Natili,15,25,40
2008-09,Georgia Tech,W,104,74,Karl Hess,Les Jones,Roger Ayers,10,24,34
2008-09,Maryland,L,85,88,Karl Hess,Gary Maxwell,Brian Dorsey,21,23,44
2008-09,NC State,W,89,80,Jamie Luckie,Ed Corbett,Mike Eades,15,16,31
2008-09,Miami,W,69,65,John Cahill,Sean Hull,Mike Kitts,8,12,20
2008-09,Duke,W,101,87,Karl Hess,Tony Greene,Mike Wood,17,23,40
2008-09,UVA,W,76,61,Bernard Clinton,Ray Natili,Robert Donato,9,16,25
2008-09,Maryland,W,108,91,John Cahill,Roger Ayers,Tony Greene,18,20,38
2008-09,NC State,W,93,76,Karl Hess,Mike Eades,Brian Dorsey,17,21,38
2008-09,Florida State,W,80,77,Karl Hess,Mike Eades,Brian Dorsey,19,25,44
2008-09,Clemson,W,94,70,Karl Hess,Roger Ayers,Robert Donato,15,21,36
2008-09,Miami,W,82,65,Les Jones,Mike Wood,Mike Eades,14,16,30
2008-09,UVA,W,83,61,Ed Corbett,John Cahill,Tony Greene,9,17,26
2008-09,Wake Forest,L,89,92,Karl Hess,Bernard Clinton,Jamie Luckie,28,27,55
2008-09,College of Charleston,W,108,70,Karl Hess,Les Jones,Bryan Kersey,13,16,29
2008-09,Boston College,L,78,85,Gary Maxwell,Mike Eades,Robert Donato,15,18,33
2008-09,Nevada,W,84,61,Randy McCall,Verne Harris,Bruce Hicks,17,19,36
2008-09,Rutgers,W,97,75,Jamie Luckie,Sean Hull,Robert Donato,12,21,33
2008-09,Valparaiso,W,85,63,Brian Dorsey,Jim Ferrari,Peter Juzenas,23,25,48
2008-09,Evansville,W,91,73,Karl Hess,Bryan Kersey,Mark Schnur,16,21,37
2008-09,Oral Roberts,W,100,84,Jamie Luckie,Mike Wood,Brian Dorsey,14,25,39
2008-09,Michigan State,W,98,63,Ed Hightower,Jim Burr,Steve Welmer,18,20,38
2008-09,Asheville,W,116,48,Ray Natili,Tony Greene,Mike Nance,12,16,28
2008-09,Notre Dame,W,102,87,Jamie Luckie,Robert Donato,Verne Harris,14,18,32
2008-09,Oregon,W,98,69,Mike Kitts,J.D. Collins,Bert Smith,20,25,45
2008-09,Chaminade,W,115,70,Dwayne Gladden,Tom Defelice,Verne Harris,17,15,32
2008-09,UC Santa Barbara,W,84,67,Dick Cartmell,Mike Scyphers,Duane Allen,16,23,39
2008-09,Kentucky,W,77,58,Karl Hess,Gary Maxwell,Roger Ayers,18,20,38
2008-09,Penn,W,86,71,Bryan Kersey,Jeff Clark,Tim Kelly,18,30,48
2007-08,Kansas,L,66,84,Tony Greene,Tom Eades,Verne Harris,14,21,35
2007-08,Louisville,W,83,73,Ed Corbett,Scott Thornley,Terry Wymer,17,19,36
2007-08,Washington State,W,68,47,Tim Higgins,John Hughes,Raymond Perone,16,18,34
2007-08,Arkansas,W,108,77,Ed Corbett,Verne Harris,Dwayne Gladden,18,13,31
2007-08,Mount St. Mary's,W,113,74,Paul Jenssen,Fred Davis,Gary Prager,16,18,34
2007-08,Clemson,W,86,81,Jamie Luckie,Les Jones,Mike Eades,22,20,42
2007-08,Virginia Tech,W,68,66,Karl Hess,Bryan Kersey,Gary Maxwell,19,19,38
2007-08,Florida State,W,82,70,Bryan Kersey,Tim Nestor,Roger Ayers,19,20,39
2007-08,Duke,W,76,68,Karl Hess,Ted Valentine,Roger Ayers,13,15,28
2007-08,Florida State,W,90,77,Bryan Kersey,Mike Eades,Sean Hull,21,25,46
2007-08,Boston College,W,90,80,Jamie Luckie,Gary Maxwell,Roger Ayers,20,21,41
2007-08,Wake Forest,W,89,73,Les Jones,Robert Donato,Reggie Greenwood,18,24,42
2007-08,NC State,W,84,70,Roger Ayers,John Cahill,J.D. Collins,17,15,32
2007-08,Virginia Tech,W,92,53,Sean Hull,Brian Dorsey,Ray Perone,17,27,44
2007-08,UVA,W,75,74,Karl Hess,Ed Corbett,Tim Nestor,16,15,31
2007-08,Clemson,W,103,93,Ted Valentine,Bernard Clinton,Tony Greene,14,31,45
2007-08,Duke,L,78,89,Jamie Luckie,Tony Greene,Les Jones,26,24,50
2007-08,Florida State ,W,84,73,Mike Eades,Tim Nestor,Mike Stuart,19,27,46
2007-08,Boston College,W,91,69,Mike Wood,Curtis Shaw,Tony Greene,17,21,38
2007-08,Miami,W,98,82,Sean Hull,Ray Natili,Tim Kelly,19,21,40
2007-08,Maryland,L,80,82,Karl Hess,Jamie Luckie,Brian Dorsey,19,16,35
2007-08,Georgia Tech,W,83,82,Mike Wood,Mike Eades,Roger Ayers,14,18,32
2007-08,NC State,W,93,62,Bryan Kersey,Bernard Clinton,Pat Driscoll,18,13,31
2007-08,Asheville,W,93,81,Les Jones,Raymond Styons,Doug Sirmons,15,17,32
2007-08,Clemson,W,90,88,Gary Maxwell,Tony Greene,Ray Natili,20,23,43
2007-08,Kent State,W,90,61,Sean Hull,Tim Nestor,Mike Kitts,7,18,25
2007-08,Valparaiso,W,90,58,Gary Maxwell,Brian Dorsey,Mike Eades,13,17,30
2007-08,Nevada,W,106,70,Karl Hess,Mike Wood,Roger Ayers,13,20,33
2007-08,UC Santa Barbara,W,105,70,Ted Valentine,Bryan Kersey,Jerry Heater,10,17,27
2007-08,Nicholls State,W,88,78,Les Jones,Jose Carrion,Brian Dorsey,14,27,41
2007-08,Rutgers,W,93,71,Ed Corbett,Jamie Luckie,J.D. Collins,20,18,38
2007-08,Penn,W,106,71,Jeff Clark,Jeff Nichols,Tim Kelly,16,18,34
2007-08,Kentucky,W,86,77,Mike Stuart,Tom Eades,Karl Hess,19,25,44
2007-08,Ohio State,W,66,55,Ted Hillary,Jim Burr,Ed Corbett,13,14,27
2007-08,BYU,W,73,63,David Libbey,Tom Spitznagel,Kevin Cutler,13,24,37
2007-08,Old Dominion,W,99,82,Verne Harris,Mike Reed,Mike Scyphers,14,18,32
2007-08,South Carolina State,W,110,64,D.J. Carstensen,Frankie Bordeaux,Jay Gwynn,20,31,51
2007-08,Iona,W,107,72,John Gaffney,Paul Faia,Earl Walton,22,33,55
2007-08,Davidson,W,72,68,Mike Wood,Zelton Steed,Gary Maxwell,20,24,44
2006-07,Georgetown ,L,84,96,Curtis Shaw,Mike Scyphers,John Higgins,19,18,37
2006-07,USC,W,74,64,Tom Lopes,Mike Sanzere,Mike Roberts,14,19,33
2006-07,Michigan State,W,81,67,Randy McCall,Pat Driscoll,Doug Sirmons,17,27,44
2006-07,EKU,W,86,65,Verne Harris,Bruce Hicks,Steve Welmer,8,13,21
2006-07,NC State,W,89,80,Karl Hess,Bryan Kersey,Gary Maxwell,19,18,37
2006-07,Boston College,W,71,56,Les Jones,Jamie Luckie,Mike Eades,15,13,28
2006-07,Florida State,W,73,58,Mike Wood,Les Jones,Roger Ayers,19,23,42
2006-07,Duke,W,86,72,Karl Hess,Jamie Luckie,Les Jones,20,24,44
2006-07,Georgia Tech,L,77,84,Tony Greene,Curtis Shaw,Bryan Kersey,17,19,36
2006-07,Maryland,L,87,89,Gary Maxwell,Tom Lopes,Karl Hess,25,16,41
2006-07,NC State,W,83,64,Bryan Kersey,Mike Eades,Pat Adams,16,18,34
2006-07,Boston College,W,77,72,Karl Hess,Earl Walton,Ray Natili,16,17,33
2006-07,Virginia Tech,L,80,81,Jamie Luckie,J.B. Caldwell,Curtis Shaw,21,23,44
2006-07,Wake Forest,W,104,67,Les Jones,Roger Ayers,Bernard Clinton,17,26,43
2006-07,Duke,W,79,73,Ted Valentine,Gary Maxwell,Reggie Greenwood,17,18,35
2006-07,NC State,L,79,83,Bryan Kersey,Ray Natili,Curtis Shaw,21,25,46
2006-07,Miami,W,105,64,Karl Hess,Mike Kitts,Robert Donato,24,14,38
2006-07,Arizona,W,92,64,Bryan Kersey,Mike Eades,Mike Wood,18,21,39
2006-07,Wake Forest,W,88,60,Gary Maxwell,John Cahill,Brian Dorsey,18,21,39
2006-07,Georgia Tech,W,77,61,Ted Valentine,Les Jones,Ray Natili,11,23,34
2006-07,Clemson,W,77,55,Mike Eades,Roger Ayers,Duke Edsall,21,14,35
2006-07,Virginia Tech,L,88,94,Mike Wood,Ray Natili,Sean Hull,25,27,52
2006-07,UVA,W,79,69,Mark Kitts,Curtis Shaw,Earl Walton,15,27,42
2006-07,Florida State,W,84,58,Ted Valentine,Mike Eades,Gary Maxwell,14,16,30
2006-07,Penn,W,102,64,Jamie Luckie,Roger Ayers,Earl Walton,17,22,39
2006-07,Dayton,W,81,51,Karl Hess,Mike Eades,Brian Dorsey,17,21,38
2006-07,Rutgers,W,87,48,Karl Hess,Bernard Clinton,Michael Stephens,12,15,27
2006-07,Saint Louis,W,69,48,Robert Donato,Jim Burr,Ray Perone,14,19,33
2006-07,Florida Atlantic,W,105,52,Les Jones,Tim Nestor,Sean Hull,12,19,31
2006-07,Asheville,W,93,62,Mike Wood,Dan Stryffeler,Raymond Styons,19,20,39
2006-07,High Point,W,94,69,Manny Upton,Jerry Heater,Roger Ayers,13,25,38
2006-07,Kentucky,W,75,63,Karl Hess,Ted Valentine,Tom Lopes,20,19,39
2006-07,Ohio State,W,98,89,Bryan Kersey,Tony Greene,Les Jones,13,23,36
2006-07,Tennessee,W,101,87,Joe Lindsay,Jamie Luckie,Doug Shows,23,26,49
2006-07,Gonzaga,L,74,82,Jim Burr,Ed Corbett,Mike Shepherd,18,26,44
2006-07,Gardner Webb,W,103,50,Les Jones,Jerry Heater,Mark Schnur,14,26,40
2006-07,Winthrop,W,73,66,Mike Kitts,Tom Lopes,Bernard Clinton,10,22,32
2006-07,Sacred Heart,W,103,81,Doug Shows,J.B. Caldwell,Tim Clougherty,14,24,38
2005-06,George Mason,L,60,65,Reggie Greenwood,Ted Hillary,Tom O'Neill,15,8,23
2005-06,Murray State,W,69,65,Tom O'Neill,Mike Scyphers,Bill Vinovich,12,19,31
2005-06,Boston College,L,82,85,Les Jones,Ray Natili,Mike Eades,18,19,37
2005-06,UVA,W,79,67,Bryan Kersey,Duke Edsall,Bernard Clinton,25,27,52
2005-06,Duke,W,83,76,Karl Hess,Ted Valentine,Ray Natili,17,19,36
2005-06,UVA,W,99,54,Gary Maxwell,Roger Ayers,Tim Nestor,13,18,31
2005-06,Maryland,W,81,57,Reggie Greenwood,Tom Lopes,Brian Dorsey,19,21,40
2005-06,NC State,W,95,71,Bryan Kersey,John Cahill,Les Jones,22,16,38
2005-06,Wake Forest,W,83,72,Mike Kitts,Mike Wood,Mike Stuart,18,22,40
2005-06,Georgia Tech,W,82,75,Les Jones,Bernard Clinton,Roger Ayers,16,31,47
2005-06,Miami,W,80,70,Jamie Luckie,Tony Greene,Tim Nestor,17,14,31
2005-06,Duke,L,83,87,Jamie Luckie,Jim Burr,Tim Higgins,21,24,45
2005-06,Clemson,W,76,61,Les Jones,Bryan Kersey,Jim Burr,15,25,40
2005-06,Maryland,W,77,62,Karl Hess,Ed Corbett,Mike Kitts,19,15,34
2005-06,Arizona,W,86,69,Bruce Hicks,Mark Reischling,Mike Reed,11,15,26
2005-06,Boston College,L,74,81,Gary Maxwell,Jamie Luckie,Mike Eades,23,24,47
2005-06,Florida State,W,81,80,Les Jones,Karl Hess,Tim Higgins,20,15,35
2005-06,UVA,L,68,72,Karl Hess,Les Jones,Bernard Clinton,21,17,38
2005-06,Miami,L,70,81,Gary Maxwell,Duke Edsall,Mike Wood,24,17,41
2005-06,Virginia Tech,W,64,61,Ed Corbett,Ted Valentine,Tony Greene,19,19,38
2005-06,NC State,W,82,69,Karl Hess,Jamie Luckie,Mike Wood,19,20,39
2005-06,Davidson,W,82,58,Ray Natili,Curtis Blair,Mike Eades,20,25,45
2005-06,Asheville,W,89,47,Ted Valentine,Tim Nestor,Roger Ayers,10,24,34
2005-06,USC,L,59,74,Stanley Reynolds,Jim Giron,Martin Cota,17,22,39
2005-06,Santa Clara,W,76,58,Jamie Luckie,Ray Natili,Bryan Kersey,16,23,39
2005-06,Saint Louis,W,75,63,Bryan Kersey,Bernard Clinton,Mike Wood,12,18,30
2005-06,Kentucky,W,83,79,Tony Greene,Karl Hess,Doug Sirmons,18,21,39
2005-06,Illinois,L,64,68,Jim Burr,Ray Natili,Karl Hess,16,20,36
2005-06,UC Santa Barbara,W,83,66,Gary Maxwell,Mike Wood,Tim Nestor,12,26,38
2005-06,Cleveland State,W,112,55,Gary Maxwell,Doug Sirmons,Dwayne Gladden,14,34,48
2005-06,Gardner Webb,W,83,80,Les Jones,Tony Greene,Steve Gordon,12,21,33
2004-05,Illinois,W,75,70,Ed Corbett,John Cahill,Verne Harris,13,18,31
2004-05,Michigan State,W,87,71,Robert Donato,Reggie Greenwood,Randy McCall,17,19,36
2004-05,Wisconsin,W,88,82,John Cahill,Richard Cartmell,Bruce Hicks,15,17,32
2004-05,Villanova,W,67,66,Tom O'Neill,David Hall,Gerry Pollard,24,21,45
2004-05,Iowa State,W,92,65,Scott Thornley,Eddie Jackson,Ted Hillary,18,23,41
2004-05,Oakland,W,96,68,Ted Hillary,Mike Nance,Jim Stupin,13,16,29
2004-05,Georgia Tech,L,75,78,Karl Hess,Bryan Kersey,Ray Natili,21,24,45
2004-05,Clemson,W,88,81,Les Jones,Jamie Luckie,Tim Nestor,23,29,52
2004-05,Duke,W,75,73,Larry Rose,Reggie Cofer,Gary Maxwell,17,20,37
2004-05,Florida State,W,91,76,Bryan Kersey,Les Jones,Mike Kitts,13,19,32
2004-05,Maryland,W,85,83,Karl Hess,Mike Wood,Ray Natili,15,17,32
2004-05,NC State,W,81,71,Les Jones,Ed Corbett,Ted Valentine,14,19,33
2004-05,Clemson,W,88,56,Mike Wood,Gary Maxwell,Mike Eades,19,11,30
2004-05,UVA,W,85,61,Larry Rose,William Bush,Tim Nestor,19,23,42
2004-05,Connecticut,W,77,70,Karl Hess,Bryan Kersey,Mike Kitts,17,15,32
2004-05,Duke,L,70,71,Mike Wood,Les Jones,Bryan Kersey,20,19,39
2004-05,Florida State,W,81,60,Duke Edsall,Steve Gordon,Tony Greene,19,22,41
2004-05,NC State,W,95,71,Karl Hess,Reggie Cofer,Robert Donato,21,20,41
2004-05,UVA,W,110,76,Duke Edsall,Ray Natili,Jamie Luckie,21,20,41
2004-05,Miami,W,87,67,Duke Edsall,Steve Gordon,Roger Ayers,15,21,36
2004-05,Clemson,W,77,58,Larry Rose,Bryan Kersey,Joe Lindsay,19,20,39
2004-05,Wake Forest,L,82,95,Bernard Clinton,Karl Hess,Mike Wood,28,23,51
2004-05,Georgia Tech,W,91,69,Larry Rose,Jamie Luckie,Robert Donato,21,23,44
2004-05,Maryland,W,109,75,Larry Rose,Reggie Cofer,Ted Valentine,17,20,37
2004-05,William & Mary,W,105,66,Duke Edsall,Emanuel Upton,Frank Raposo,12,24,36
2004-05,Cleveland State,W,107,64,Ray Natili,Sean Hull,Raymond Styons,14,22,36
2004-05,UNC-Wilmington,W,96,75,Duke Edsall,Mike Eades,Alan Spainhour,20,31,51
2004-05,Vermont,W,93,65,Robert Donato,Roger Ayers,Dwayne Gladden,16,22,38
2004-05,Virginia Tech,W,85,51,Karl Hess,Edwin Edsall,Bryan Kersey,15,17,32
2004-05,Loyola Chicago,W,109,60,Reggie Cofer,Tony Greene,David Guthrie,14,26,40
2004-05,Kentucky,W,91,78,Karl Hess,Les Jones,Tony Greene,16,31,47
2004-05,Indiana,W,70,63,Jim Burr,Donnee Gray,Tim Higgins,19,21,40
2004-05,USC,W,97,65,Mike Wood,Gary Maxwell,Reggie Cofer,15,28,43
2004-05,Iowa,W,106,92,Robert Donato,Tony Greene,Verne Harris,23,23,46
2004-05,Tennessee,W,94,81,Verne Harris,Mike Eades,Pat Evans,19,27,46
2004-05,BYU,W,86,50,Robert Donato,Craig Peterson,J.D. Collins,17,21,38
2004-05,Santa Clara,L,66,77,David Libbey,Mike Irving,Verne Harris,23,24,47
2003-04,Texas,L,75,78,John Cahill,Donnee Gray,Rob Staffen,21,19,40
2003-04,Air Force,W,63,52,John Cahill,Robert Adams,John Caldwell,15,15,30
2003-04,Georgia Tech,L,82,83,Duke Edsall,Les Jones,Jamie Luckie,22,25,47
2003-04,Duke,L,65,70,Mike Wood,Gary Maxwell,Reggie Cofer,17,18,35
2003-04,Clemson,W,69,53,Mike Kitts,Duke Edsall,Larry Rose,11,12,23
2003-04,NC State,W,71,64,Mike Stuart,Bryan Kersey,Robert Donato,12,16,28
2003-04,UVA,L,72,74,Karl Hess,Ted Valentine,Bernard Clinton,19,13,32
2003-04,Florida State,W,78,71,Mike Wood,Gary Maxwell,Steve Gordon,18,27,45
2003-04,Maryland,W,97,86,Mike Stuart,Jamie Luckie,Reggie Cofer,24,31,55
2003-04,Georgia Tech,L,77,88,Karl Hess,Ray Natili,Mike Eades,20,19,39
2003-04,Wake Forest,W,79,73,Reggie Cofer,Jamie Luckie,Mike Wood,21,17,38
2003-04,Duke,L,81,83,Karl Hess,Bryan Kersey,Duke Edsall,19,17,36
2003-04,Clemson,L,72,81,Ted Valentine,Ray Natili,Les Jones,25,17,42
2003-04,NC State,W,68,66,Mike Wood,Robert Donato,William Bush,17,18,35
2003-04,UVA,W,96,77,Jamie Luckie,Les Jones,Larry Rose,19,24,43
2003-04,Florida State,L,81,90,Ted Valentine,John Cahill,Roger Ayers,16,17,33
2003-04,Connecticut,W,86,83,Karl Hess,Robert Donato,Les Jones,17,20,37
2003-04,Maryland,L,84,90,Duke Edsall,Mike Wood,Bryan Kersey,24,18,42
2003-04,Georgia Tech,W,103,88,Ed Corbett,Mike Kitts,Steve Gordon,24,28,52
2003-04,Miami,W,89,64,Bryan Kersey,Lee Jones,Tom Lopes,21,21,42
2003-04,Kentucky,L,56,61,John Clougherty,Tom Lopes,Tom Eades,14,13,27
2003-04,Coastal Carolina,W,105,72,Jamie Luckie,Alan Spainhour,Sean Hull,14,24,38
2003-04,UNC-Wilmington,W,71,54,Mike Wood,Duke Edsall,Reggie Cofer,19,23,42
2003-04,Wake Forest,L,114,119,Jamie Luckie,Duke Edsall,Reggie Cofer,26,26,52
2003-04,Akron,W,64,53,Ted Valentine,Ray Natili,Robert Donato,10,21,31
2003-04,George Mason,W,115,81,Les Jones,Larry Rose,Steve Gordon,21,27,48
2003-04,Illinois,W,88,81,Reggie Cofer,Jamie Luckie,Bryan Kersey,15,21,36
2003-04,Cleveland State,W,82,76,Gary Maxwell,Everett Summers,Sean Carpenter,21,26,47
2003-04,Davidson,W,91,68,Mike Wood,Tim Nestor,Mike Eades,21,32,53
2003-04,Old Dominion,W,90,64,Karl Hess,Mike Eades,Jerry Heater,12,20,32